t,metric,outcome,trace_id
0,1.000018702643124,recoverable,recoverable_001
1,1.0087526700794163,recoverable,recoverable_001
2,1.0043436649654405,recoverable,recoverable_001
3,0.999108873074597,recoverable,recoverable_001
4,1.0094057537911476,recoverable,recoverable_001
5,1.0047786820532967,recoverable,recoverable_001
6,1.0235827904413,recoverable,recoverable_001
7,1.045349165696689,recoverable,recoverable_001
8,1.0199139574764353,recoverable,recoverable_001
9,1.0194851264447267,recoverable,recoverable_001
10,1.0370487493668274,recoverable,recoverable_001
11,1.0353585251777537,recoverable,recoverable_001
12,1.0312796675614466,recoverable,recoverable_001
13,1.0148301685367076,recoverable,recoverable_001
14,1.0268513637510914,recoverable,recoverable_001
15,1.0356675434394649,recoverable,recoverable_001
16,1.0025095745798374,recoverable,recoverable_001
17,1.012782844356819,recoverable,recoverable_001
18,0.9877045151006815,recoverable,recoverable_001
19,0.9931272495063608,recoverable,recoverable_001
20,0.9808404162879919,recoverable,recoverable_001
21,1.0007670884329447,recoverable,recoverable_001
22,0.9810254650232318,recoverable,recoverable_001
23,0.9998541982016836,recoverable,recoverable_001
24,0.9939767135866944,recoverable,recoverable_001
25,0.9848399794860574,recoverable,recoverable_001
26,0.9461721093006694,recoverable,recoverable_001
27,0.972461527663174,recoverable,recoverable_001
28,0.9768429451331151,recoverable,recoverable_001
29,0.9767721100376544,recoverable,recoverable_001
30,0.9501501570667168,recoverable,recoverable_001
31,0.9645373844506034,recoverable,recoverable_001
32,0.9562322657093666,recoverable,recoverable_001
33,0.9586103096992927,recoverable,recoverable_001
34,0.9871253177842771,recoverable,recoverable_001
35,0.9602017092691798,recoverable,recoverable_001
36,0.9735497252779302,recoverable,recoverable_001
37,0.9896208361459166,recoverable,recoverable_001
38,0.9704770722714031,recoverable,recoverable_001
39,0.9809445893036122,recoverable,recoverable_001
40,0.9881247408774323,recoverable,recoverable_001
41,0.9916691375476195,recoverable,recoverable_001
42,0.9769106753304517,recoverable,recoverable_001
43,1.0012604263950067,recoverable,recoverable_001
44,1.0255158643588294,recoverable,recoverable_001
45,0.9870497682849249,recoverable,recoverable_001
46,1.0283051527410962,recoverable,recoverable_001
47,1.0223247740712424,recoverable,recoverable_001
48,1.0159279840704958,recoverable,recoverable_001
49,1.06040636762085,recoverable,recoverable_001
50,1.0464650895576064,recoverable,recoverable_001
51,1.0214092569712412,recoverable,recoverable_001
52,1.0445853443061883,recoverable,recoverable_001
53,1.0558647343781382,recoverable,recoverable_001
54,1.0477949351688667,recoverable,recoverable_001
55,1.0639477409223823,recoverable,recoverable_001
56,1.055460632149571,recoverable,recoverable_001
57,1.0689219786759798,recoverable,recoverable_001
58,1.0826817465121417,recoverable,recoverable_001
59,1.0529414050145398,recoverable,recoverable_001
60,1.0679335135777759,recoverable,recoverable_001
61,1.0596491024340766,recoverable,recoverable_001
62,1.0701939419942856,recoverable,recoverable_001
63,1.0522144256410764,recoverable,recoverable_001
64,1.0632025651243147,recoverable,recoverable_001
65,1.071034155555753,recoverable,recoverable_001
66,1.08984159950489,recoverable,recoverable_001
67,1.0963001114087536,recoverable,recoverable_001
68,1.0624853590240257,recoverable,recoverable_001
69,1.0741599345737192,recoverable,recoverable_001
70,1.1001109061067582,recoverable,recoverable_001
71,1.0654869633433375,recoverable,recoverable_001
72,1.0940696719607896,recoverable,recoverable_001
73,1.1059067431631846,recoverable,recoverable_001
74,1.1332874781368651,recoverable,recoverable_001
75,1.1325542044542884,recoverable,recoverable_001
76,1.1257820197237232,recoverable,recoverable_001
77,1.1343002401115168,recoverable,recoverable_001
