t,metric,outcome
0,0.9966669029823936,irreversible
1,0.9805658261790121,irreversible
2,0.9671303735517779,irreversible
3,1.0101136214278654,irreversible
4,0.9987720274315565,irreversible
5,1.0081305707326562,irreversible
6,0.9802141011714812,irreversible
7,0.9868388241632668,irreversible
8,0.9800191394555967,irreversible
9,0.9822671626588391,irreversible
10,1.003908158354988,irreversible
11,0.9843405076733011,irreversible
12,1.0071213257764056,irreversible
13,1.0067951185083643,irreversible
14,1.040503219737602,irreversible
15,0.9721442190826638,irreversible
16,1.017758047556701,irreversible
17,0.9982102407622316,irreversible
18,0.99971940539738,irreversible
19,0.9710027235618678,irreversible
20,0.990796123745507,irreversible
21,1.014863945268879,irreversible
22,0.9983504325596539,irreversible
23,1.0016210874082254,irreversible
24,0.9941856663879892,irreversible
25,1.0230913949397258,irreversible
26,0.9995705486591301,irreversible
27,0.9559916865503587,irreversible
28,0.9861585489905101,irreversible
29,0.9606240678583952,irreversible
30,0.9349712316900692,irreversible
31,0.9893976930045537,irreversible
32,1.0266711970020546,irreversible
33,1.0009423981226118,irreversible
34,0.9765490858519004,irreversible
35,0.9811860026359516,irreversible
36,1.0226122646050002,irreversible
37,1.0031525324679693,irreversible
38,1.0009599848312412,irreversible
39,0.9989307642232389,irreversible
40,1.000768005231107,irreversible
41,1.016108112938876,irreversible
42,1.0110513459471215,irreversible
43,1.00431409400049,irreversible
44,0.9791426328481998,irreversible
45,1.0102221752981946,irreversible
46,0.9863150584401501,irreversible
47,1.0218769135180095,irreversible
48,0.9745789835655174,irreversible
49,0.9972475804744882,irreversible
50,0.9998528342741746,irreversible
51,0.9735070889871172,irreversible
52,1.0344394328771296,irreversible
53,1.029208135345191,irreversible
54,0.9907283247678184,irreversible
55,1.0154344233112904,irreversible
56,1.0075735213934043,irreversible
57,0.9477288107330948,irreversible
58,1.0050079603255517,irreversible
59,0.998773118403335,irreversible
60,1.0016643470694906,irreversible
61,0.9784625016034564,irreversible
62,0.9946130590755919,irreversible
63,0.996434824732354,irreversible
64,1.0237618843442464,irreversible
65,1.0066885412078204,irreversible
66,0.9998888993959467,irreversible
67,1.030579399958219,irreversible
68,0.9888950414047271,irreversible
69,0.9922113939024924,irreversible
70,0.9636648997732188,irreversible
71,1.0313821169256723,irreversible
72,1.0192866473638886,irreversible
73,1.0183369608902342,irreversible
74,1.0133779689289388,irreversible
75,1.002202971753273,irreversible
76,1.0043097787836466,irreversible
77,0.9949598681946539,irreversible
78,0.9959279914855411,irreversible
79,1.0010860722342738,irreversible
80,1.0302365902312756,irreversible
81,1.0111137580361615,irreversible
82,0.9988307974848227,irreversible
83,0.9884121589911321,irreversible
84,0.9873000302517668,irreversible
85,1.0320541002234498,irreversible
86,1.010133746084542,irreversible
87,1.0013510111662132,irreversible
88,0.9930763631569456,irreversible
89,0.9778189317659894,irreversible
90,0.9986627688506021,irreversible
91,1.017473160689404,irreversible
92,0.9921492550632502,irreversible
93,0.9954551483399888,irreversible
94,0.9955793129712205,irreversible
95,1.0021918873599633,irreversible
96,0.9681397824250878,irreversible
97,0.9952920329606981,irreversible
98,0.9829120896369186,irreversible
99,1.017691700651252,irreversible
100,0.9845880264687028,irreversible
101,1.0115409349460138,irreversible
102,1.0304887490545351,irreversible
103,0.9937280747743675,irreversible
104,0.9879684749575307,irreversible
105,1.0038286451825218,irreversible
106,0.9999594194478194,irreversible
107,0.9801276730532058,irreversible
108,1.0092183883142676,irreversible
109,1.0403103210695082,irreversible
110,0.9948377600946855,irreversible
111,0.9959424760787068,irreversible
112,0.9791013595286183,irreversible
113,1.0063817690337309,irreversible
114,0.9750604755058474,irreversible
115,0.9778613795129704,irreversible
116,1.0255933454368757,irreversible
117,0.9818909388121071,irreversible
118,1.0216271513866269,irreversible
119,1.0304871600756562,irreversible
120,1.0051865291495348,irreversible
121,1.0310678280570165,irreversible
122,1.0790450188737355,irreversible
123,1.0560654319586857,irreversible
124,1.0681398840611678,irreversible
125,1.0729353787043412,irreversible
126,1.120834141606927,irreversible
127,1.1695828842183662,irreversible
128,1.1791919076280173,irreversible
129,1.1611581751716409,irreversible
130,1.1828924923233481,irreversible
131,1.2099165754131807,irreversible
132,1.2458453616499068,irreversible
133,1.2558937714579264,irreversible
134,1.2842890789088617,irreversible
135,1.305934787560909,irreversible
136,1.3140245282664311,irreversible
137,1.339196521167941,irreversible
138,1.3641318475443205,irreversible
139,1.3783206059293365,irreversible
140,1.410070417299881,irreversible
141,1.45741751546656,irreversible
142,1.4518394456954165,irreversible
143,1.461116210928171,irreversible
144,1.4462776275327616,irreversible
145,1.507759141720304,irreversible
146,1.4810664317646558,irreversible
147,1.5118193182768775,irreversible
148,1.5770927850493754,irreversible
149,1.594124701202733,irreversible
150,1.5970012200330221,irreversible
151,1.5857997778769557,irreversible
152,1.632573029662183,irreversible
153,1.6464252336356795,irreversible
154,1.692736814922604,irreversible
155,1.7451546106485507,irreversible
156,1.7243386097590931,irreversible
157,1.7244137774393575,irreversible
158,1.7365889693939356,irreversible
159,1.7788781143846346,irreversible
160,1.7964641361297282,irreversible
161,1.7969696168094507,irreversible
162,1.8423271047138439,irreversible
163,1.836981729573783,irreversible
164,1.902242145434586,irreversible
165,1.9212530121157632,irreversible
166,1.9416950253059286,irreversible
167,1.9305189905878295,irreversible
168,1.9702904112663617,irreversible
169,1.9773586098956129,irreversible
170,1.9922237587719502,irreversible
171,2.013217086857159,irreversible
172,2.0140056945393168,irreversible
173,2.0311227260820974,irreversible
174,2.095886295817521,irreversible
175,2.0961752919216097,irreversible
176,2.1243284970225527,irreversible
177,2.1600342077690824,irreversible
178,2.125337350099678,irreversible
179,2.164317398523682,irreversible
180,2.2035066968693013,irreversible
181,2.2278418957333113,irreversible
182,2.232458510991978,irreversible
183,2.2805835846539573,irreversible
184,2.284207898776593,irreversible
185,2.275732357223443,irreversible
186,2.301384724480187,irreversible
187,2.3561094212098928,irreversible
188,2.3692766291291214,irreversible
189,2.3420187752198682,irreversible
190,2.4269542460772486,irreversible
191,2.4319605406218776,irreversible
192,2.46686685975393,irreversible
193,2.452325982378498,irreversible
194,2.4740858755733535,irreversible
195,2.4774708583049736,irreversible
196,2.5707385914026375,irreversible
197,2.536490915491857,irreversible
198,2.5917506638416388,irreversible
199,2.5670541509722544,irreversible
200,2.603276823846662,irreversible
201,2.5865729502685983,irreversible
202,2.632342657024665,irreversible
203,2.6796750981680004,irreversible
204,2.65496512368851,irreversible
205,2.721444550898692,irreversible
206,2.726744756316969,irreversible
207,2.719120981500315,irreversible
208,2.7499680545714864,irreversible
209,2.770818686465892,irreversible
210,2.79900961324115,irreversible
211,2.809277120681138,irreversible
212,2.8234542419839093,irreversible
213,2.853908245949704,irreversible
214,2.8594622052278194,irreversible
215,2.8742094685471384,irreversible
216,2.9190364703498526,irreversible
217,2.957657484511091,irreversible
218,2.9294125658976524,irreversible
219,2.9800701630292794,irreversible
