t,metric,outcome
0,1.000018702643124,recoverable
1,1.0087526700794163,recoverable
2,1.0043436649654405,recoverable
3,0.999108873074597,recoverable
4,1.0094057537911476,recoverable
5,1.0047786820532967,recoverable
6,1.0235827904413,recoverable
7,1.045349165696689,recoverable
8,1.0199139574764353,recoverable
9,1.0194851264447267,recoverable
10,1.0370487493668274,recoverable
11,1.0353585251777537,recoverable
12,1.0312796675614466,recoverable
13,1.0148301685367076,recoverable
14,1.0268513637510914,recoverable
15,1.0356675434394649,recoverable
16,1.0025095745798374,recoverable
17,1.012782844356819,recoverable
18,0.9877045151006815,recoverable
19,0.9931272495063608,recoverable
20,0.9808404162879919,recoverable
21,1.0007670884329447,recoverable
22,0.9810254650232318,recoverable
23,0.9998541982016836,recoverable
24,0.9939767135866944,recoverable
25,0.9848399794860574,recoverable
26,0.9461721093006694,recoverable
27,0.972461527663174,recoverable
28,0.9768429451331151,recoverable
29,0.9767721100376544,recoverable
30,0.9501501570667168,recoverable
31,0.9645373844506034,recoverable
32,0.9562322657093666,recoverable
33,0.9586103096992927,recoverable
34,0.9871253177842771,recoverable
35,0.9602017092691798,recoverable
36,0.9735497252779302,recoverable
37,0.9896208361459166,recoverable
38,0.9704770722714031,recoverable
39,0.9809445893036122,recoverable
40,0.9881247408774323,recoverable
41,0.9916691375476195,recoverable
42,0.9769106753304517,recoverable
43,1.0012604263950067,recoverable
44,1.0255158643588294,recoverable
45,0.9870497682849249,recoverable
46,1.0283051527410962,recoverable
47,1.0223247740712424,recoverable
48,1.0159279840704958,recoverable
49,1.06040636762085,recoverable
50,1.0464650895576064,recoverable
51,1.0214092569712412,recoverable
52,1.0445853443061883,recoverable
53,1.0558647343781382,recoverable
54,1.0477949351688667,recoverable
55,1.0639477409223823,recoverable
56,1.055460632149571,recoverable
57,1.0689219786759798,recoverable
58,1.0826817465121417,recoverable
59,1.0529414050145398,recoverable
60,1.0679335135777759,recoverable
61,1.0596491024340766,recoverable
62,1.0701939419942856,recoverable
63,1.0522144256410764,recoverable
64,1.0632025651243147,recoverable
65,1.071034155555753,recoverable
66,1.08984159950489,recoverable
67,1.0963001114087536,recoverable
68,1.0624853590240257,recoverable
69,1.0741599345737192,recoverable
70,1.1001109061067582,recoverable
71,1.0654869633433375,recoverable
72,1.0940696719607896,recoverable
73,1.1059067431631846,recoverable
74,1.1332874781368651,recoverable
75,1.1325542044542884,recoverable
76,1.1257820197237232,recoverable
77,1.1343002401115168,recoverable
78,1.145825533989617,recoverable
79,1.1827255935031724,recoverable
80,1.1642097762090142,recoverable
81,1.1772005349239454,recoverable
82,1.1984304577945823,recoverable
83,1.2028574780235046,recoverable
84,1.2132508824795807,recoverable
85,1.2109191412055151,recoverable
86,1.2386167199868137,recoverable
87,1.2428928302553979,recoverable
88,1.2772515296346951,recoverable
89,1.2790862684429536,recoverable
