beta,lead_restoration_pct,false_positive_rate,osc_damping_20,applied_count,final_variance
1.3,78.675,0.0487,0.017899,9,0.019869
1.32,79.627,0.048,0.01796,9,0.019908
1.34,80.443,0.0475,0.018107,9,0.019959
1.36,81.123,0.047,0.018525,10,0.020238
1.38,81.667,0.0466,0.017533,9,0.019866
1.4,82.075,0.0463,0.01779,9,0.019979
1.42,82.347,0.0461,0.017718,9,0.019528
1.44,82.483,0.046,0.017382,9,0.019723
1.46,82.483,0.046,0.017969,9,0.019761
1.48,82.347,0.0461,0.017806,9,0.019555
1.5,82.075,0.0463,0.018129,9,0.019696
1.52,81.667,0.0466,0.017532,9,0.019625
1.54,81.123,0.047,0.017941,9,0.019753
1.56,80.443,0.0475,0.018034,9,0.019508
1.58,79.627,0.048,0.017582,9,0.019737
1.6,78.675,0.0487,0.017603,9,0.019631
