beta,lead_restoration_pct,false_positive_rate,osc_damping,applied_count,final_variance
1.3,79.95,0.0475,0.0365,4,0.016331
1.32,80.958,0.0469,0.0354,4,0.016324
1.34,81.822,0.0463,0.0344,4,0.016317
1.36,82.542,0.0459,0.0336,4,0.016311
1.38,83.118,0.0455,0.033,4,0.016305
1.4,83.55,0.0453,0.0325,4,0.0163
1.42,83.838,0.0451,0.0322,4,0.016296
1.44,83.982,0.045,0.032,4,0.016292
1.46,83.982,0.045,0.032,4,0.016288
1.48,83.838,0.0451,0.0322,4,0.016285
1.5,83.55,0.0453,0.0325,4,0.016282
1.52,83.118,0.0455,0.033,4,0.01628
1.54,82.542,0.0459,0.0336,4,0.016277
1.56,81.822,0.0463,0.0344,4,0.016275
1.58,80.958,0.0469,0.0354,4,0.016273
1.6,79.95,0.0475,0.0365,4,0.016272
