beta,lead_restoration_pct,false_positive_rate,osc_damping_20,applied_count,final_variance
1.3,79.95,0.0475,0.018877,7,0.010458
1.32,80.958,0.0469,0.018877,7,0.010457
1.34,81.822,0.0463,0.018877,7,0.010457
1.36,82.542,0.0459,0.018877,7,0.010457
1.38,83.118,0.0455,0.018877,7,0.010457
1.4,83.55,0.0453,0.018877,7,0.010457
1.42,83.838,0.0451,0.018877,7,0.010457
1.44,83.982,0.045,0.018877,7,0.010457
1.46,83.982,0.045,0.018877,7,0.010457
1.48,83.838,0.0451,0.018877,7,0.010457
1.5,83.55,0.0453,0.018877,7,0.010457
1.52,83.118,0.0455,0.018877,7,0.010457
1.54,82.542,0.0459,0.018877,7,0.010457
1.56,81.822,0.0463,0.018877,7,0.010457
1.58,80.958,0.0469,0.018877,7,0.010457
1.6,79.95,0.0475,0.018877,7,0.010457
