gain,delay,p_mix,phase,phase_code,mean_abs_jerk
1.0,0,0.2,RECOVERABLE,1,0.003537
1.02,0,0.2,RECOVERABLE,1,0.005647
1.04,0,0.2,IRRECOVERABLE,3,0.013355
1.06,0,0.2,IRRECOVERABLE,3,0.050566
1.08,0,0.2,IRRECOVERABLE,3,0.272375
1.0,1,0.2,RECOVERABLE,1,0.003537
1.02,1,0.2,RECOVERABLE,1,0.005647
1.04,1,0.2,IRRECOVERABLE,3,0.013355
1.06,1,0.2,IRRECOVERABLE,3,0.050566
1.08,1,0.2,IRRECOVERABLE,3,0.272375
1.0,2,0.2,RECOVERABLE,1,0.006215
1.02,2,0.2,IRRECOVERABLE,3,0.011195
1.04,2,0.2,IRRECOVERABLE,3,0.027541
1.06,2,0.2,IRRECOVERABLE,3,0.10412
1.08,2,0.2,IRRECOVERABLE,3,0.586552
1.0,3,0.2,RECOVERABLE,1,0.00659
1.02,3,0.2,IRRECOVERABLE,3,0.010995
1.04,3,0.2,IRRECOVERABLE,3,0.027895
1.06,3,0.2,IRRECOVERABLE,3,0.120222
1.08,3,0.2,IRRECOVERABLE,3,0.697305
1.0,4,0.2,RECOVERABLE,1,0.00549
1.02,4,0.2,IRRECOVERABLE,3,0.010964
1.04,4,0.2,IRRECOVERABLE,3,0.02992
1.06,4,0.2,IRRECOVERABLE,3,0.113028
1.08,4,0.2,IRRECOVERABLE,3,0.537658
1.0,5,0.2,RECOVERABLE,1,0.006239
1.02,5,0.2,IRRECOVERABLE,3,0.012507
1.04,5,0.2,IRRECOVERABLE,3,0.031812
1.06,5,0.2,IRRECOVERABLE,3,0.10316
1.08,5,0.2,IRRECOVERABLE,3,0.418017
1.0,6,0.2,RECOVERABLE,1,0.005835
1.02,6,0.2,IRRECOVERABLE,3,0.012068
1.04,6,0.2,IRRECOVERABLE,3,0.031155
1.06,6,0.2,IRRECOVERABLE,3,0.098337
1.08,6,0.2,IRRECOVERABLE,3,0.376689
1.0,7,0.2,RECOVERABLE,1,0.007424
1.02,7,0.2,IRRECOVERABLE,3,0.015013
1.04,7,0.2,IRRECOVERABLE,3,0.050639
1.06,7,0.2,IRRECOVERABLE,3,0.281555
1.08,7,0.2,IRRECOVERABLE,3,1.952101
1.0,8,0.2,RECOVERABLE,1,0.005553
1.02,8,0.2,IRRECOVERABLE,3,0.010119
1.04,8,0.2,IRRECOVERABLE,3,0.019747
1.06,8,0.2,IRRECOVERABLE,3,0.042367
1.08,8,0.2,IRRECOVERABLE,3,0.107258
1.0,9,0.2,RECOVERABLE,1,0.006199
1.02,9,0.2,IRRECOVERABLE,3,0.012105
