gain,delay,phase,phase_code,max_acceleration,max_velocity
1.0,0,IRRECOVERABLE,3,0.015795,0.008517
1.01,0,IRRECOVERABLE,3,0.016542,0.009496
1.02,0,IRRECOVERABLE,3,0.017364,0.010574
1.03,0,IRRECOVERABLE,3,0.018988,0.011758
1.04,0,IRRECOVERABLE,3,0.020752,0.01306
1.05,0,IRRECOVERABLE,3,0.022665,0.014489
1.06,0,IRRECOVERABLE,3,0.02474,0.016054
1.07,0,IRRECOVERABLE,3,0.026989,0.017769
1.08,0,IRRECOVERABLE,3,0.029426,0.019645
1.09,0,IRRECOVERABLE,3,0.032064,0.021696
1.1,0,IRRECOVERABLE,3,0.034919,0.023935
1.0,1,IRRECOVERABLE,3,0.015795,0.008517
1.01,1,IRRECOVERABLE,3,0.016542,0.009496
1.02,1,IRRECOVERABLE,3,0.017364,0.010574
1.03,1,IRRECOVERABLE,3,0.018988,0.011758
1.04,1,IRRECOVERABLE,3,0.020752,0.01306
1.05,1,IRRECOVERABLE,3,0.022665,0.014489
1.06,1,IRRECOVERABLE,3,0.02474,0.016054
1.07,1,IRRECOVERABLE,3,0.026989,0.017769
1.08,1,IRRECOVERABLE,3,0.029426,0.019645
1.09,1,IRRECOVERABLE,3,0.032064,0.021696
1.1,1,IRRECOVERABLE,3,0.034919,0.023935
1.0,2,RECOVERABLE,1,0.01478,0.010732
1.01,2,IRRECOVERABLE,3,0.015759,0.011214
1.02,2,IRRECOVERABLE,3,0.016796,0.011713
1.03,2,IRRECOVERABLE,3,0.017896,0.012229
1.04,2,IRRECOVERABLE,3,0.019061,0.012762
1.05,2,IRRECOVERABLE,3,0.020295,0.013313
1.06,2,IRRECOVERABLE,3,0.021601,0.013882
1.07,2,IRRECOVERABLE,3,0.022982,0.014469
1.08,2,IRRECOVERABLE,3,0.024444,0.015076
1.09,2,IRRECOVERABLE,3,0.025988,0.015702
1.1,2,IRRECOVERABLE,3,0.027621,0.016347
1.0,3,RECOVERABLE,1,0.012789,0.00575
1.01,3,RECOVERABLE,1,0.013437,0.005804
1.02,3,RECOVERABLE,1,0.014165,0.006037
1.03,3,RECOVERABLE,1,0.014972,0.006521
1.04,3,IRRECOVERABLE,3,0.015826,0.007042
1.05,3,IRRECOVERABLE,3,0.01673,0.007602
1.06,3,IRRECOVERABLE,3,0.017687,0.008204
1.07,3,IRRECOVERABLE,3,0.0187,0.00885
1.08,3,IRRECOVERABLE,3,0.019772,0.009544
1.09,3,IRRECOVERABLE,3,0.020906,0.010289
1.1,3,IRRECOVERABLE,3,0.022106,0.011088
1.0,4,RECOVERABLE,1,0.009833,0.006
1.01,4,RECOVERABLE,1,0.010171,0.006212
1.02,4,RECOVERABLE,1,0.010519,0.00643
1.03,4,RECOVERABLE,1,0.010877,0.006724
1.04,4,RECOVERABLE,1,0.011246,0.007049
1.05,4,RECOVERABLE,1,0.011649,0.007389
1.06,4,RECOVERABLE,1,0.012204,0.007743
1.07,4,RECOVERABLE,1,0.012783,0.008112
1.08,4,RECOVERABLE,1,0.013592,0.008616
1.09,4,RECOVERABLE,1,0.014662,0.009334
1.1,4,IRRECOVERABLE,3,0.015811,0.010111
1.0,5,RECOVERABLE,1,0.010505,0.00813
1.01,5,RECOVERABLE,1,0.010794,0.008348
1.02,5,RECOVERABLE,1,0.011087,0.00857
1.03,5,RECOVERABLE,1,0.011385,0.008796
1.04,5,RECOVERABLE,1,0.011688,0.009026
1.05,5,RECOVERABLE,1,0.011996,0.009259
1.06,5,RECOVERABLE,1,0.01231,0.009497
1.07,5,RECOVERABLE,1,0.012628,0.009738
1.08,5,RECOVERABLE,1,0.012952,0.009984
1.09,5,RECOVERABLE,1,0.013281,0.010233
1.1,5,RECOVERABLE,1,0.013928,0.010486
1.0,6,RECOVERABLE,1,0.009591,0.00575
1.01,6,RECOVERABLE,1,0.009911,0.005804
1.02,6,RECOVERABLE,1,0.010239,0.005857
1.03,6,RECOVERABLE,1,0.010575,0.005911
1.04,6,RECOVERABLE,1,0.01092,0.006039
1.05,6,RECOVERABLE,1,0.011274,0.006215
1.06,6,RECOVERABLE,1,0.011636,0.006395
1.07,6,RECOVERABLE,1,0.012008,0.006579
1.08,6,RECOVERABLE,1,0.012388,0.006766
1.09,6,RECOVERABLE,1,0.012777,0.006956
1.1,6,RECOVERABLE,1,0.013176,0.00715
1.0,7,RECOVERABLE,1,0.008821,0.00575
1.01,7,RECOVERABLE,1,0.009164,0.005804
1.02,7,RECOVERABLE,1,0.009518,0.005857
1.03,7,RECOVERABLE,1,0.009881,0.005911
1.04,7,RECOVERABLE,1,0.010255,0.005964
1.05,7,RECOVERABLE,1,0.010639,0.006018
1.06,7,RECOVERABLE,1,0.011034,0.006071
1.07,7,RECOVERABLE,1,0.01144,0.006466
1.08,7,RECOVERABLE,1,0.011857,0.006911
1.09,7,RECOVERABLE,1,0.012286,0.007373
1.1,7,RECOVERABLE,1,0.01281,0.007851
1.0,8,RECOVERABLE,1,0.008868,0.00575
1.01,8,RECOVERABLE,1,0.009166,0.005804
1.02,8,RECOVERABLE,1,0.009472,0.005857
1.03,8,RECOVERABLE,1,0.009786,0.005911
1.04,8,RECOVERABLE,1,0.010108,0.005964
1.05,8,RECOVERABLE,1,0.010438,0.006018
1.06,8,RECOVERABLE,1,0.010777,0.006071
1.07,8,RECOVERABLE,1,0.011124,0.006125
1.08,8,RECOVERABLE,1,0.01148,0.006178
1.09,8,RECOVERABLE,1,0.011844,0.006536
1.1,8,RECOVERABLE,1,0.012217,0.007002
