gain,delay,phase,phase_code,final_variance,max_acceleration,max_velocity
1.0,0,IRRECOVERABLE,3,0.011613,0.066842,0.035198
1.005,0,IRRECOVERABLE,3,0.012274,0.069073,0.036523
1.01,0,IRRECOVERABLE,3,0.012995,0.07136,0.037889
1.015,0,IRRECOVERABLE,3,0.013782,0.073701,0.039296
1.02,0,IRRECOVERABLE,3,0.014643,0.076527,0.040745
1.03,0,IRRECOVERABLE,3,0.016625,0.083804,0.044975
1.04,0,IRRECOVERABLE,3,0.019024,0.092859,0.050284
1.05,0,IRRECOVERABLE,3,0.021949,0.102713,0.056142
1.06,0,IRRECOVERABLE,3,0.02554,0.113399,0.062591
1.07,0,IRRECOVERABLE,3,0.02998,0.127313,0.069677
1.08,0,IRRECOVERABLE,3,0.035502,0.143062,0.077444
1.09,0,IRRECOVERABLE,3,0.042412,0.160463,0.085943
1.1,0,IRRECOVERABLE,3,0.051109,0.179643,0.095225
1.0,1,IRRECOVERABLE,3,0.011613,0.066842,0.035198
1.005,1,IRRECOVERABLE,3,0.012274,0.069073,0.036523
1.01,1,IRRECOVERABLE,3,0.012995,0.07136,0.037889
1.015,1,IRRECOVERABLE,3,0.013782,0.073701,0.039296
1.02,1,IRRECOVERABLE,3,0.014643,0.076527,0.040745
1.03,1,IRRECOVERABLE,3,0.016625,0.083804,0.044975
1.04,1,IRRECOVERABLE,3,0.019024,0.092859,0.050284
1.05,1,IRRECOVERABLE,3,0.021949,0.102713,0.056142
1.06,1,IRRECOVERABLE,3,0.02554,0.113399,0.062591
1.07,1,IRRECOVERABLE,3,0.02998,0.127313,0.069677
1.08,1,IRRECOVERABLE,3,0.035502,0.143062,0.077444
1.09,1,IRRECOVERABLE,3,0.042412,0.160463,0.085943
1.1,1,IRRECOVERABLE,3,0.051109,0.179643,0.095225
1.0,2,IRRECOVERABLE,3,0.010608,0.032452,0.026061
1.005,2,IRRECOVERABLE,3,0.011011,0.033178,0.026542
1.01,2,IRRECOVERABLE,3,0.011431,0.033926,0.027037
1.015,2,IRRECOVERABLE,3,0.01187,0.034695,0.027547
1.02,2,IRRECOVERABLE,3,0.012328,0.035487,0.028072
1.03,2,IRRECOVERABLE,3,0.013304,0.038844,0.02917
1.04,2,IRRECOVERABLE,3,0.014364,0.043293,0.030335
1.05,2,IRRECOVERABLE,3,0.015514,0.048338,0.031569
1.06,2,IRRECOVERABLE,3,0.016757,0.054064,0.032879
1.07,2,IRRECOVERABLE,3,0.0181,0.06057,0.034267
1.08,2,IRRECOVERABLE,3,0.019545,0.067966,0.038378
1.09,2,IRRECOVERABLE,3,0.021099,0.076381,0.044106
1.1,2,IRRECOVERABLE,3,0.022765,0.085959,0.050702
1.0,3,IRRECOVERABLE,3,0.013387,0.045805,0.044621
1.005,3,IRRECOVERABLE,3,0.013764,0.046704,0.04542
1.01,3,IRRECOVERABLE,3,0.014154,0.04762,0.046232
1.015,3,IRRECOVERABLE,3,0.014559,0.048553,0.047057
1.02,3,IRRECOVERABLE,3,0.014978,0.049503,0.048298
1.03,3,IRRECOVERABLE,3,0.015863,0.051457,0.051023
1.04,3,IRRECOVERABLE,3,0.016813,0.053484,0.053877
1.05,3,IRRECOVERABLE,3,0.017835,0.055587,0.056867
1.06,3,IRRECOVERABLE,3,0.018932,0.058693,0.059999
1.07,3,IRRECOVERABLE,3,0.020113,0.062459,0.063278
1.08,3,IRRECOVERABLE,3,0.021382,0.06644,0.066713
1.09,3,IRRECOVERABLE,3,0.022747,0.07065,0.070309
1.1,3,IRRECOVERABLE,3,0.024215,0.075102,0.074076
1.0,4,IRRECOVERABLE,3,0.013275,0.05395,0.04577
1.005,4,IRRECOVERABLE,3,0.013759,0.054613,0.046699
1.01,4,IRRECOVERABLE,3,0.014262,0.055287,0.047648
1.015,4,IRRECOVERABLE,3,0.014784,0.05597,0.048619
1.02,4,IRRECOVERABLE,3,0.015326,0.056662,0.049611
1.03,4,IRRECOVERABLE,3,0.016473,0.058076,0.051662
1.04,4,IRRECOVERABLE,3,0.017707,0.05953,0.053804
1.05,4,IRRECOVERABLE,3,0.019037,0.061022,0.056043
1.06,4,IRRECOVERABLE,3,0.020466,0.063275,0.058532
1.07,4,IRRECOVERABLE,3,0.022003,0.066016,0.062293
1.08,4,IRRECOVERABLE,3,0.023655,0.070066,0.066281
1.09,4,IRRECOVERABLE,3,0.025428,0.074692,0.070511
1.1,4,IRRECOVERABLE,3,0.02733,0.079591,0.074993
1.0,5,IRRECOVERABLE,3,0.01331,0.044408,0.024247
1.005,5,IRRECOVERABLE,3,0.013647,0.045243,0.024486
1.01,5,IRRECOVERABLE,3,0.013993,0.046094,0.024725
1.015,5,IRRECOVERABLE,3,0.014347,0.046962,0.024964
1.02,5,IRRECOVERABLE,3,0.014711,0.047848,0.025202
1.03,5,IRRECOVERABLE,3,0.015466,0.049674,0.025678
1.04,5,IRRECOVERABLE,3,0.016259,0.051575,0.026152
1.05,5,IRRECOVERABLE,3,0.017093,0.053556,0.026624
1.06,5,IRRECOVERABLE,3,0.017969,0.055621,0.027934
1.07,5,IRRECOVERABLE,3,0.018888,0.057772,0.029412
1.08,5,IRRECOVERABLE,3,0.019852,0.060015,0.030969
1.09,5,IRRECOVERABLE,3,0.020864,0.062354,0.032609
1.1,5,IRRECOVERABLE,3,0.021925,0.064794,0.034336
1.0,6,IRRECOVERABLE,3,0.011165,0.027497,0.026858
1.005,6,IRRECOVERABLE,3,0.011524,0.027504,0.026903
1.01,6,IRRECOVERABLE,3,0.011895,0.027508,0.026947
1.015,6,IRRECOVERABLE,3,0.012278,0.027511,0.026991
1.02,6,IRRECOVERABLE,3,0.012673,0.027511,0.027033
1.03,6,IRRECOVERABLE,3,0.013502,0.027507,0.027113
1.04,6,IRRECOVERABLE,3,0.014384,0.027592,0.027189
1.05,6,IRRECOVERABLE,3,0.015323,0.02813,0.02726
1.06,6,IRRECOVERABLE,3,0.016321,0.028666,0.027326
1.07,6,IRRECOVERABLE,3,0.017381,0.029198,0.027387
1.08,6,IRRECOVERABLE,3,0.018506,0.029726,0.027442
1.09,6,IRRECOVERABLE,3,0.019699,0.03025,0.027676
1.1,6,IRRECOVERABLE,3,0.020964,0.03077,0.02826
1.0,7,IRRECOVERABLE,3,0.010032,0.039375,0.031486
1.005,7,IRRECOVERABLE,3,0.010181,0.040004,0.031844
1.01,7,IRRECOVERABLE,3,0.010331,0.040641,0.032204
1.015,7,IRRECOVERABLE,3,0.010484,0.041286,0.032564
1.02,7,IRRECOVERABLE,3,0.010637,0.041938,0.032926
1.03,7,IRRECOVERABLE,3,0.010949,0.043264,0.033652
1.04,7,IRRECOVERABLE,3,0.011268,0.044621,0.034382
1.05,7,IRRECOVERABLE,3,0.011593,0.046009,0.035115
1.06,7,IRRECOVERABLE,3,0.011924,0.047429,0.035851
1.07,7,IRRECOVERABLE,3,0.012262,0.04888,0.036589
1.08,7,IRRECOVERABLE,3,0.012607,0.050363,0.037329
1.09,7,IRRECOVERABLE,3,0.012958,0.051879,0.038071
