gain,delay,phase,phase_code,final_variance,max_acceleration,max_velocity
1.0,0,IRRECOVERABLE,3,0.011961,0.022081,0.008968
1.005,0,IRRECOVERABLE,3,0.012797,0.022961,0.009461
1.01,0,IRRECOVERABLE,3,0.013718,0.02387,0.009978
1.015,0,IRRECOVERABLE,3,0.014733,0.024897,0.010519
1.02,0,IRRECOVERABLE,3,0.015854,0.026089,0.011085
1.03,0,IRRECOVERABLE,3,0.01846,0.028626,0.012299
1.04,0,IRRECOVERABLE,3,0.021654,0.031378,0.013628
1.05,0,IRRECOVERABLE,3,0.02558,0.03436,0.015083
1.06,0,IRRECOVERABLE,3,0.030422,0.037588,0.016673
1.07,0,IRRECOVERABLE,3,0.036411,0.041075,0.01841
1.08,0,IRRECOVERABLE,3,0.043837,0.044838,0.020307
1.09,0,IRRECOVERABLE,3,0.053067,0.048894,0.022377
1.1,0,IRRECOVERABLE,3,0.064562,0.05326,0.024634
1.0,1,IRRECOVERABLE,3,0.011961,0.022081,0.008968
1.005,1,IRRECOVERABLE,3,0.012797,0.022961,0.009461
1.01,1,IRRECOVERABLE,3,0.013718,0.02387,0.009978
1.015,1,IRRECOVERABLE,3,0.014733,0.024897,0.010519
1.02,1,IRRECOVERABLE,3,0.015854,0.026089,0.011085
1.03,1,IRRECOVERABLE,3,0.01846,0.028626,0.012299
1.04,1,IRRECOVERABLE,3,0.021654,0.031378,0.013628
1.05,1,IRRECOVERABLE,3,0.02558,0.03436,0.015083
1.06,1,IRRECOVERABLE,3,0.030422,0.037588,0.016673
1.07,1,IRRECOVERABLE,3,0.036411,0.041075,0.01841
1.08,1,IRRECOVERABLE,3,0.043837,0.044838,0.020307
1.09,1,IRRECOVERABLE,3,0.053067,0.048894,0.022377
1.1,1,IRRECOVERABLE,3,0.064562,0.05326,0.024634
1.0,2,IRRECOVERABLE,3,0.012198,0.015236,0.010397
1.005,2,IRRECOVERABLE,3,0.012894,0.015962,0.010632
1.01,2,IRRECOVERABLE,3,0.01364,0.016718,0.010871
1.015,2,IRRECOVERABLE,3,0.014441,0.017505,0.011115
1.02,2,IRRECOVERABLE,3,0.015301,0.018324,0.011363
1.03,2,IRRECOVERABLE,3,0.017217,0.020059,0.011871
1.04,2,IRRECOVERABLE,3,0.019431,0.021933,0.012396
1.05,2,IRRECOVERABLE,3,0.021993,0.023951,0.012938
1.06,2,IRRECOVERABLE,3,0.024961,0.026933,0.013499
1.07,2,IRRECOVERABLE,3,0.028404,0.030728,0.015366
1.08,2,IRRECOVERABLE,3,0.0324,0.035011,0.017956
1.09,2,IRRECOVERABLE,3,0.037042,0.03984,0.020949
1.1,2,IRRECOVERABLE,3,0.042437,0.045283,0.024404
1.0,3,IRRECOVERABLE,3,0.008029,0.021204,0.006748
1.005,3,IRRECOVERABLE,3,0.008585,0.021671,0.006897
1.01,3,IRRECOVERABLE,3,0.009181,0.022146,0.007049
1.015,3,IRRECOVERABLE,3,0.009821,0.02263,0.007203
1.02,3,IRRECOVERABLE,3,0.010507,0.023123,0.007359
1.03,3,IRRECOVERABLE,3,0.012031,0.024135,0.007681
1.04,3,IRRECOVERABLE,3,0.013779,0.025183,0.008182
1.05,3,IRRECOVERABLE,3,0.015783,0.026269,0.008762
1.06,3,IRRECOVERABLE,3,0.018078,0.027394,0.009669
1.07,3,IRRECOVERABLE,3,0.020702,0.028558,0.011569
1.08,3,IRRECOVERABLE,3,0.0237,0.029763,0.013767
1.09,3,IRRECOVERABLE,3,0.027121,0.031009,0.016305
1.1,3,IRRECOVERABLE,3,0.03102,0.032299,0.019232
1.0,4,RECOVERABLE,1,0.003331,0.014555,0.008618
1.005,4,RECOVERABLE,1,0.00354,0.014943,0.008912
1.01,4,IRRECOVERABLE,3,0.003764,0.01534,0.009216
1.015,4,IRRECOVERABLE,3,0.004005,0.015746,0.009531
1.02,4,IRRECOVERABLE,3,0.004264,0.016162,0.009856
1.03,4,IRRECOVERABLE,3,0.004837,0.017024,0.010542
1.04,4,IRRECOVERABLE,3,0.005494,0.017929,0.011278
1.05,4,IRRECOVERABLE,3,0.006243,0.018879,0.012065
1.06,4,IRRECOVERABLE,3,0.007096,0.019879,0.012909
1.07,4,IRRECOVERABLE,3,0.008065,0.021094,0.013814
1.08,4,IRRECOVERABLE,3,0.009162,0.022939,0.014783
1.09,4,IRRECOVERABLE,3,0.010403,0.024946,0.015822
1.1,4,IRRECOVERABLE,3,0.011802,0.027131,0.016935
1.0,5,RECOVERABLE,1,0.008935,0.013349,0.008538
1.005,5,RECOVERABLE,1,0.009249,0.01381,0.008779
1.01,5,RECOVERABLE,1,0.009575,0.014287,0.009027
1.015,5,RECOVERABLE,1,0.009914,0.014782,0.009282
1.02,5,IRRECOVERABLE,3,0.010267,0.015295,0.009544
1.03,5,IRRECOVERABLE,3,0.011015,0.016376,0.010093
1.04,5,IRRECOVERABLE,3,0.011823,0.017536,0.010675
1.05,5,IRRECOVERABLE,3,0.012697,0.018782,0.011292
1.06,5,IRRECOVERABLE,3,0.01364,0.020118,0.011946
1.07,5,IRRECOVERABLE,3,0.014658,0.021553,0.01264
1.08,5,IRRECOVERABLE,3,0.015758,0.023092,0.013376
1.09,5,IRRECOVERABLE,3,0.016944,0.024743,0.014157
1.1,5,IRRECOVERABLE,3,0.018224,0.026515,0.014985
1.0,6,RECOVERABLE,1,0.0124,0.013931,0.009878
1.005,6,RECOVERABLE,1,0.012863,0.014103,0.01008
1.01,6,RECOVERABLE,1,0.013344,0.014274,0.010286
1.015,6,RECOVERABLE,1,0.013843,0.014443,0.010496
1.02,6,RECOVERABLE,1,0.014363,0.01461,0.010709
1.03,6,RECOVERABLE,1,0.015463,0.014937,0.011147
1.04,6,IRRECOVERABLE,3,0.016649,0.015254,0.011599
1.05,6,IRRECOVERABLE,3,0.01793,0.015558,0.012066
1.06,6,IRRECOVERABLE,3,0.01931,0.015848,0.012549
1.07,6,IRRECOVERABLE,3,0.020797,0.01612,0.013048
1.08,6,IRRECOVERABLE,3,0.022399,0.016374,0.013563
1.09,6,IRRECOVERABLE,3,0.024125,0.016605,0.014095
1.1,6,IRRECOVERABLE,3,0.025981,0.016813,0.014643
1.0,7,IRRECOVERABLE,3,0.006007,0.015327,0.014016
1.005,7,IRRECOVERABLE,3,0.006239,0.015681,0.014355
1.01,7,IRRECOVERABLE,3,0.006478,0.016042,0.014701
1.015,7,IRRECOVERABLE,3,0.006727,0.016409,0.015053
1.02,7,IRRECOVERABLE,3,0.006983,0.016782,0.015414
1.03,7,IRRECOVERABLE,3,0.007524,0.017549,0.016157
1.04,7,IRRECOVERABLE,3,0.008101,0.018343,0.01693
1.05,7,IRRECOVERABLE,3,0.008718,0.019164,0.017736
1.06,7,IRRECOVERABLE,3,0.009377,0.020013,0.018575
1.07,7,IRRECOVERABLE,3,0.01008,0.020892,0.019448
1.08,7,IRRECOVERABLE,3,0.01083,0.0218,0.020356
1.09,7,IRRECOVERABLE,3,0.011629,0.022738,0.021302
1.1,7,IRRECOVERABLE,3,0.01248,0.023708,0.022286
1.0,8,RECOVERABLE,1,0.009459,0.011027,0.006616
1.005,8,RECOVERABLE,1,0.009785,0.011218,0.006842
1.01,8,RECOVERABLE,1,0.010123,0.011412,0.007075
1.015,8,RECOVERABLE,1,0.010473,0.011609,0.007313
1.02,8,RECOVERABLE,1,0.010836,0.01181,0.007557
1.03,8,RECOVERABLE,1,0.0116,0.012221,0.008064
1.04,8,RECOVERABLE,1,0.012419,0.012646,0.008597
1.05,8,RECOVERABLE,1,0.013296,0.013085,0.009157
1.06,8,RECOVERABLE,1,0.014234,0.013538,0.009745
1.07,8,RECOVERABLE,1,0.015238,0.014006,0.010362
1.08,8,RECOVERABLE,1,0.01631,0.01449,0.01101
1.09,8,RECOVERABLE,1,0.017456,0.01499,0.01169
1.1,8,IRRECOVERABLE,3,0.01868,0.015506,0.012404
1.0,9,RECOVERABLE,1,0.005957,0.011213,0.008955
1.005,9,RECOVERABLE,1,0.006137,0.011426,0.009139
1.01,9,RECOVERABLE,1,0.006323,0.011642,0.009326
1.015,9,RECOVERABLE,1,0.006514,0.011862,0.009516
1.02,9,RECOVERABLE,1,0.006711,0.012085,0.009709
1.03,9,SOFT,2,0.00712,0.012542,0.010105
1.04,9,SOFT,2,0.007553,0.013014,0.010515
1.05,9,SOFT,2,0.00801,0.0135,0.01094
1.06,9,SOFT,2,0.008491,0.014002,0.011378
1.07,9,SOFT,2,0.008999,0.01452,0.011832
1.08,9,IRRECOVERABLE,3,0.009535,0.015053,0.012301
1.09,9,IRRECOVERABLE,3,0.010098,0.015604,0.012786
1.1,9,IRRECOVERABLE,3,0.010691,0.016171,0.013287
1.0,10,RECOVERABLE,1,0.006274,0.013297,0.007638
1.005,10,RECOVERABLE,1,0.006465,0.013595,0.007717
1.01,10,RECOVERABLE,1,0.00666,0.013899,0.007797
1.015,10,RECOVERABLE,1,0.006862,0.01421,0.007878
1.02,10,RECOVERABLE,1,0.007069,0.014528,0.007959
1.03,10,IRRECOVERABLE,3,0.007499,0.015186,0.008124
1.04,10,IRRECOVERABLE,3,0.007953,0.015874,0.008292
1.05,10,IRRECOVERABLE,3,0.008432,0.016592,0.008462
1.06,10,IRRECOVERABLE,3,0.008936,0.017343,0.008636
1.07,10,IRRECOVERABLE,3,0.009467,0.018127,0.008812
1.08,10,IRRECOVERABLE,3,0.010025,0.018946,0.008991
1.09,10,IRRECOVERABLE,3,0.010612,0.019801,0.009174
1.1,10,IRRECOVERABLE,3,0.011228,0.020694,0.009359
