gain,delay,p_mix,phase,phase_code,max_acceleration,max_velocity,final_variance
1.0,0,0.2,RECOVERABLE,1,0.006096,0.006715,0.002366
1.02,0,0.2,RECOVERABLE,1,0.012237,0.007505,0.004503
1.04,0,0.2,IRRECOVERABLE,3,0.056737,0.016078,0.080878
1.06,0,0.2,IRRECOVERABLE,3,0.298952,0.09306,1.038204
1.08,0,0.2,IRRECOVERABLE,3,1.617415,1.149898,10.661112
1.0,0,0.25,RECOVERABLE,1,0.005403,0.006053,0.00455
1.02,0,0.25,RECOVERABLE,1,0.00594,0.006792,0.004853
1.04,0,0.25,IRRECOVERABLE,3,0.015898,0.007586,0.021855
1.06,0,0.25,IRRECOVERABLE,3,0.075153,0.034509,0.254893
1.08,0,0.25,IRRECOVERABLE,3,0.38798,0.310375,2.631812
1.0,0,0.3,RECOVERABLE,1,0.003904,0.006053,0.005072
1.02,0,0.3,RECOVERABLE,1,0.005295,0.006792,0.006935
1.04,0,0.3,RECOVERABLE,1,0.007188,0.007586,0.015433
1.06,0,0.3,IRRECOVERABLE,3,0.018943,0.016589,0.079257
1.08,0,0.3,IRRECOVERABLE,3,0.105564,0.096932,0.629023
1.0,0,0.35,RECOVERABLE,1,0.003404,0.005716,0.005234
1.02,0,0.35,RECOVERABLE,1,0.003883,0.006364,0.007005
1.04,0,0.35,RECOVERABLE,1,0.005175,0.007059,0.012448
1.06,0,0.35,RECOVERABLE,1,0.012194,0.007804,0.039779
1.08,0,0.35,IRRECOVERABLE,3,0.05073,0.034561,0.229194
1.0,0,0.4,RECOVERABLE,1,0.002655,0.004732,0.003997
1.02,0,0.4,RECOVERABLE,1,0.003255,0.005323,0.005072
1.04,0,0.4,RECOVERABLE,1,0.004264,0.005959,0.008246
1.06,0,0.4,RECOVERABLE,1,0.010044,0.006641,0.022877
1.08,0,0.4,IRRECOVERABLE,3,0.032909,0.021043,0.116321
1.0,0,0.45,RECOVERABLE,1,0.002949,0.004732,0.00418
1.02,0,0.45,RECOVERABLE,1,0.003478,0.005323,0.005048
1.04,0,0.45,RECOVERABLE,1,0.004103,0.005959,0.006982
1.06,0,0.45,RECOVERABLE,1,0.005545,0.006641,0.013297
1.08,0,0.45,IRRECOVERABLE,3,0.01508,0.01031,0.043361
1.0,0,0.5,RECOVERABLE,1,0.002949,0.004732,0.003085
1.02,0,0.5,RECOVERABLE,1,0.003478,0.005323,0.003557
1.04,0,0.5,RECOVERABLE,1,0.004103,0.005959,0.004633
1.06,0,0.5,RECOVERABLE,1,0.004851,0.006641,0.00818
1.08,0,0.5,RECOVERABLE,1,0.008727,0.007566,0.024794
1.0,2,0.2,RECOVERABLE,1,0.008714,0.00858,0.035231
1.02,2,0.2,IRRECOVERABLE,3,0.021783,0.017475,0.141844
1.04,2,0.2,IRRECOVERABLE,3,0.117994,0.090167,0.872161
1.06,2,0.2,IRRECOVERABLE,3,0.918576,0.792588,6.688335
1.08,2,0.2,IRRECOVERABLE,3,7.998304,8.068883,55.546232
1.0,2,0.25,RECOVERABLE,1,0.010753,0.006053,0.018672
1.02,2,0.25,IRRECOVERABLE,3,0.017661,0.011264,0.056161
1.04,2,0.25,IRRECOVERABLE,3,0.078089,0.040186,0.286949
1.06,2,0.25,IRRECOVERABLE,3,0.574866,0.265304,2.011147
1.08,2,0.25,IRRECOVERABLE,3,4.822544,2.411766,16.103804
1.0,2,0.3,RECOVERABLE,1,0.010266,0.006053,0.014582
1.02,2,0.3,IRRECOVERABLE,3,0.017008,0.009145,0.032032
1.04,2,0.3,IRRECOVERABLE,3,0.043522,0.024342,0.135727
1.06,2,0.3,IRRECOVERABLE,3,0.291496,0.131846,0.928001
1.08,2,0.3,IRRECOVERABLE,3,2.339466,1.152935,7.584478
1.0,2,0.35,RECOVERABLE,1,0.007696,0.005716,0.009191
1.02,2,0.35,RECOVERABLE,1,0.011847,0.007121,0.019349
1.04,2,0.35,IRRECOVERABLE,3,0.028849,0.017695,0.097336
1.06,2,0.35,IRRECOVERABLE,3,0.199873,0.106375,0.784783
1.08,2,0.35,IRRECOVERABLE,3,1.797047,1.033769,6.931558
1.0,2,0.4,RECOVERABLE,1,0.007494,0.005716,0.009026
1.02,2,0.4,RECOVERABLE,1,0.011666,0.006873,0.018446
1.04,2,0.4,IRRECOVERABLE,3,0.026946,0.017054,0.096724
1.06,2,0.4,IRRECOVERABLE,3,0.215667,0.108441,0.817766
1.08,2,0.4,IRRECOVERABLE,3,1.962967,1.09586,7.394823
1.0,2,0.45,RECOVERABLE,1,0.007475,0.005716,0.006608
1.02,2,0.45,RECOVERABLE,1,0.007993,0.006364,0.010388
1.04,2,0.45,IRRECOVERABLE,3,0.022215,0.012168,0.051868
1.06,2,0.45,IRRECOVERABLE,3,0.202799,0.060485,0.491549
1.08,2,0.45,IRRECOVERABLE,3,1.93226,0.724415,4.765835
1.0,2,0.5,RECOVERABLE,1,0.007475,0.005716,0.005803
1.02,2,0.5,RECOVERABLE,1,0.007993,0.006364,0.007492
1.04,2,0.5,RECOVERABLE,1,0.009818,0.011353,0.028207
1.06,2,0.5,IRRECOVERABLE,3,0.082911,0.036933,0.240059
1.08,2,0.5,IRRECOVERABLE,3,0.771918,0.311106,2.162138
1.0,3,0.2,RECOVERABLE,1,0.012055,0.007564,0.015108
1.02,3,0.2,IRRECOVERABLE,3,0.023177,0.01597,0.097476
1.04,3,0.2,IRRECOVERABLE,3,0.088968,0.065418,0.806692
1.06,3,0.2,IRRECOVERABLE,3,0.502243,0.794914,7.089642
1.08,3,0.2,IRRECOVERABLE,3,3.99232,8.929807,62.271721
1.0,3,0.25,RECOVERABLE,1,0.010511,0.007831,0.009783
1.02,3,0.25,IRRECOVERABLE,3,0.024471,0.013585,0.065331
1.04,3,0.25,IRRECOVERABLE,3,0.087002,0.042941,0.557647
1.06,3,0.25,IRRECOVERABLE,3,0.344605,0.542942,4.952958
1.08,3,0.25,IRRECOVERABLE,3,1.727634,6.213122,43.567893
1.0,3,0.3,RECOVERABLE,1,0.009827,0.00705,0.009936
1.02,3,0.3,IRRECOVERABLE,3,0.019935,0.012188,0.059857
1.04,3,0.3,IRRECOVERABLE,3,0.067112,0.039512,0.475113
1.06,3,0.3,IRRECOVERABLE,3,0.253805,0.450457,4.045826
1.08,3,0.3,IRRECOVERABLE,3,1.102612,4.975588,34.745134
1.0,3,0.35,RECOVERABLE,1,0.008576,0.005716,0.008741
1.02,3,0.35,IRRECOVERABLE,3,0.016119,0.009414,0.048711
1.04,3,0.35,IRRECOVERABLE,3,0.045071,0.033522,0.370096
1.06,3,0.35,IRRECOVERABLE,3,0.167189,0.350363,3.103141
1.08,3,0.35,IRRECOVERABLE,3,1.041612,3.806504,26.584005
1.0,3,0.4,RECOVERABLE,1,0.007721,0.005716,0.007214
1.02,3,0.4,RECOVERABLE,1,0.014313,0.008305,0.03947
1.04,3,0.4,IRRECOVERABLE,3,0.035547,0.025806,0.298657
1.06,3,0.4,IRRECOVERABLE,3,0.128739,0.27591,2.49803
1.08,3,0.4,IRRECOVERABLE,3,0.727635,3.055072,21.388993
1.0,3,0.45,RECOVERABLE,1,0.007533,0.005716,0.007046
1.02,3,0.45,RECOVERABLE,1,0.01242,0.007628,0.038565
1.04,3,0.45,IRRECOVERABLE,3,0.028802,0.023306,0.287979
1.06,3,0.45,IRRECOVERABLE,3,0.099098,0.265755,2.373742
1.08,3,0.45,IRRECOVERABLE,3,0.555822,2.882129,20.108287
1.0,3,0.5,RECOVERABLE,1,0.007533,0.005716,0.005938
1.02,3,0.5,RECOVERABLE,1,0.009703,0.007257,0.027006
1.04,3,0.5,IRRECOVERABLE,3,0.049414,0.025383,0.185184
1.06,3,0.5,IRRECOVERABLE,3,0.424027,0.167562,1.488403
1.08,3,0.5,IRRECOVERABLE,3,3.494329,1.797413,12.590122
1.0,5,0.2,RECOVERABLE,1,0.007043,0.00862,0.026042
1.02,5,0.2,IRRECOVERABLE,3,0.020932,0.01776,0.15961
1.04,5,0.2,IRRECOVERABLE,3,0.079564,0.118403,1.367487
1.06,5,0.2,IRRECOVERABLE,3,0.349796,1.409698,12.41903
1.08,5,0.2,IRRECOVERABLE,3,2.536314,16.000381,111.305373
1.0,5,0.25,RECOVERABLE,1,0.006927,0.006466,0.019596
1.02,5,0.25,RECOVERABLE,1,0.011419,0.013111,0.086505
1.04,5,0.25,IRRECOVERABLE,3,0.045846,0.054491,0.622621
1.06,5,0.25,IRRECOVERABLE,3,0.283641,0.592245,5.308488
1.08,5,0.25,IRRECOVERABLE,3,1.844191,6.678716,46.685636
1.0,5,0.3,RECOVERABLE,1,0.007027,0.006053,0.017716
1.02,5,0.3,RECOVERABLE,1,0.010704,0.011234,0.071767
1.04,5,0.3,IRRECOVERABLE,3,0.045299,0.04556,0.486689
1.06,5,0.3,IRRECOVERABLE,3,0.190326,0.43705,4.031847
1.08,5,0.3,IRRECOVERABLE,3,1.278779,4.971034,35.020444
1.0,5,0.35,RECOVERABLE,1,0.00618,0.005716,0.015424
1.02,5,0.35,RECOVERABLE,1,0.009122,0.009738,0.060896
1.04,5,0.35,IRRECOVERABLE,3,0.038876,0.041738,0.418586
1.06,5,0.35,IRRECOVERABLE,3,0.179417,0.376173,3.54299
1.08,5,0.35,IRRECOVERABLE,3,1.201734,4.420582,31.297738
1.0,5,0.4,RECOVERABLE,1,0.00618,0.005716,0.016333
1.02,5,0.4,RECOVERABLE,1,0.010063,0.009864,0.065534
1.04,5,0.4,IRRECOVERABLE,3,0.029538,0.045254,0.440229
1.06,5,0.4,IRRECOVERABLE,3,0.163065,0.384255,3.679385
1.08,5,0.4,IRRECOVERABLE,3,1.087965,4.574441,32.513505
1.0,5,0.45,RECOVERABLE,1,0.00618,0.005716,0.01547
1.02,5,0.45,RECOVERABLE,1,0.010304,0.00965,0.062476
1.04,5,0.45,IRRECOVERABLE,3,0.028353,0.044077,0.42546
1.06,5,0.45,IRRECOVERABLE,3,0.17142,0.373355,3.586358
1.08,5,0.45,IRRECOVERABLE,3,1.130118,4.473263,31.818515
1.0,5,0.5,RECOVERABLE,1,0.00618,0.005716,0.013457
1.02,5,0.5,RECOVERABLE,1,0.009122,0.008933,0.052728
1.04,5,0.5,IRRECOVERABLE,3,0.031141,0.038887,0.355887
