gain,delay,p_mix,phase,phase_code,max_jerk,min_jerk,jerk_span,mean_abs_jerk,final_variance
1.0,0,0.2,RECOVERABLE,1,0.009883,-0.008086,0.017969,0.003537,0.002366
1.02,0,0.2,RECOVERABLE,1,0.021526,-0.017729,0.039255,0.005647,0.004503
1.04,0,0.2,IRRECOVERABLE,3,0.11223,-0.063295,0.175525,0.013355,0.080878
1.06,0,0.2,IRRECOVERABLE,3,0.604774,-0.313353,0.918127,0.050566,1.038204
1.08,0,0.2,IRRECOVERABLE,3,3.25371,-2.230689,5.4844,0.272375,10.661112
1.0,1,0.2,RECOVERABLE,1,0.009883,-0.008086,0.017969,0.003537,0.002366
1.02,1,0.2,RECOVERABLE,1,0.021526,-0.017729,0.039255,0.005647,0.004503
1.04,1,0.2,IRRECOVERABLE,3,0.11223,-0.063295,0.175525,0.013355,0.080878
1.06,1,0.2,IRRECOVERABLE,3,0.604774,-0.313353,0.918127,0.050566,1.038204
1.08,1,0.2,IRRECOVERABLE,3,3.25371,-2.230689,5.4844,0.272375,10.661112
1.0,2,0.2,RECOVERABLE,1,0.015819,-0.013181,0.029,0.006215,0.035231
1.02,2,0.2,IRRECOVERABLE,3,0.034861,-0.024374,0.059235,0.011195,0.141844
1.04,2,0.2,IRRECOVERABLE,3,0.213121,-0.121636,0.334756,0.027541,0.872161
1.06,2,0.2,IRRECOVERABLE,3,1.718295,-0.921982,2.640277,0.10412,6.688335
1.08,2,0.2,IRRECOVERABLE,3,14.712793,-7.7978,22.510594,0.586552,55.546232
1.0,3,0.2,RECOVERABLE,1,0.024422,-0.017451,0.041873,0.00659,0.015108
1.02,3,0.2,IRRECOVERABLE,3,0.045967,-0.028421,0.074388,0.010995,0.097476
1.04,3,0.2,IRRECOVERABLE,3,0.154282,-0.093641,0.247923,0.027895,0.806692
1.06,3,0.2,IRRECOVERABLE,3,0.934553,-0.484501,1.419054,0.120222,7.089642
1.08,3,0.2,IRRECOVERABLE,3,6.497066,-3.38098,9.878046,0.697305,62.271721
1.0,4,0.2,RECOVERABLE,1,0.019404,-0.017662,0.037066,0.00549,0.020314
1.02,4,0.2,IRRECOVERABLE,3,0.053552,-0.037119,0.090672,0.010964,0.100945
1.04,4,0.2,IRRECOVERABLE,3,0.222344,-0.139433,0.361777,0.02992,0.824499
