gain,delay,phase,phase_code,final_variance,max_acceleration,max_velocity
1.0,0,IRRECOVERABLE,3,0.002989,0.015795,0.008517
1.02,0,IRRECOVERABLE,3,0.003797,0.017364,0.010574
1.04,0,IRRECOVERABLE,3,0.004996,0.020752,0.01306
1.06,0,IRRECOVERABLE,3,0.006807,0.02474,0.016054
1.07,0,IRRECOVERABLE,3,0.008043,0.026989,0.017769
1.08,0,IRRECOVERABLE,3,0.009575,0.029426,0.019645
1.0,3,RECOVERABLE,1,0.004319,0.012789,0.00575
1.02,3,RECOVERABLE,1,0.005457,0.014165,0.006037
1.04,3,IRRECOVERABLE,3,0.006924,0.015826,0.007042
1.06,3,IRRECOVERABLE,3,0.008809,0.017687,0.008204
1.07,3,IRRECOVERABLE,3,0.009944,0.0187,0.00885
1.08,3,IRRECOVERABLE,3,0.011228,0.019772,0.009544
1.0,6,RECOVERABLE,1,0.003273,0.009591,0.00575
1.02,6,RECOVERABLE,1,0.004036,0.010239,0.005857
1.04,6,RECOVERABLE,1,0.004955,0.01092,0.006039
1.06,6,RECOVERABLE,1,0.006055,0.011636,0.006395
1.07,6,RECOVERABLE,1,0.006683,0.012008,0.006579
1.08,6,RECOVERABLE,1,0.007368,0.012388,0.006766
1.0,10,RECOVERABLE,1,0.004598,0.009743,0.00575
1.02,10,RECOVERABLE,1,0.005198,0.010184,0.005857
1.04,10,RECOVERABLE,1,0.005863,0.010638,0.005964
1.06,10,RECOVERABLE,1,0.006598,0.011103,0.006071
1.07,10,RECOVERABLE,1,0.006994,0.01134,0.006125
1.08,10,RECOVERABLE,1,0.007409,0.01158,0.006178
1.0,15,RECOVERABLE,1,0.004291,0.007534,0.00575
1.02,15,RECOVERABLE,1,0.004668,0.007921,0.005857
1.04,15,RECOVERABLE,1,0.00507,0.008319,0.005964
1.06,15,RECOVERABLE,1,0.005497,0.008728,0.006071
1.07,15,RECOVERABLE,1,0.005721,0.008936,0.006125
1.08,15,RECOVERABLE,1,0.005952,0.009148,0.006178
