gain,delay,p_mix,phase,phase_code,max_acceleration,max_velocity,final_variance
1.0,0,0.2,RECOVERABLE,1,0.006096,0.006715,0.002366
1.02,0,0.2,RECOVERABLE,1,0.012237,0.007505,0.004503
1.04,0,0.2,IRRECOVERABLE,3,0.056737,0.016078,0.080878
1.06,0,0.2,IRRECOVERABLE,3,0.298952,0.09306,1.038204
1.08,0,0.2,IRRECOVERABLE,3,1.617415,1.149898,10.661112
1.0,1,0.2,RECOVERABLE,1,0.006096,0.006715,0.002366
1.02,1,0.2,RECOVERABLE,1,0.012237,0.007505,0.004503
1.04,1,0.2,IRRECOVERABLE,3,0.056737,0.016078,0.080878
1.06,1,0.2,IRRECOVERABLE,3,0.298952,0.09306,1.038204
1.08,1,0.2,IRRECOVERABLE,3,1.617415,1.149898,10.661112
1.0,2,0.2,RECOVERABLE,1,0.008714,0.00858,0.035231
1.02,2,0.2,IRRECOVERABLE,3,0.021783,0.017475,0.141844
1.04,2,0.2,IRRECOVERABLE,3,0.117994,0.090167,0.872161
1.06,2,0.2,IRRECOVERABLE,3,0.918576,0.792588,6.688335
1.08,2,0.2,IRRECOVERABLE,3,7.998304,8.068883,55.546232
1.0,3,0.2,RECOVERABLE,1,0.012055,0.007564,0.015108
1.02,3,0.2,IRRECOVERABLE,3,0.023177,0.01597,0.097476
1.04,3,0.2,IRRECOVERABLE,3,0.088968,0.065418,0.806692
1.06,3,0.2,IRRECOVERABLE,3,0.502243,0.794914,7.089642
1.08,3,0.2,IRRECOVERABLE,3,3.99232,8.929807,62.271721
1.0,4,0.2,RECOVERABLE,1,0.012831,0.007503,0.020314
1.02,4,0.2,IRRECOVERABLE,3,0.02715,0.014734,0.100945
1.04,4,0.2,IRRECOVERABLE,3,0.091846,0.06731,0.824499
1.06,4,0.2,IRRECOVERABLE,3,0.536127,0.853738,7.65414
1.08,4,0.2,IRRECOVERABLE,3,3.298873,10.147166,70.91066
1.0,5,0.2,RECOVERABLE,1,0.007043,0.00862,0.026042
1.02,5,0.2,IRRECOVERABLE,3,0.020932,0.01776,0.15961
1.04,5,0.2,IRRECOVERABLE,3,0.079564,0.118403,1.367487
1.06,5,0.2,IRRECOVERABLE,3,0.349796,1.409698,12.41903
1.08,5,0.2,IRRECOVERABLE,3,2.536314,16.000381,111.305373
1.0,6,0.2,RECOVERABLE,1,0.009005,0.008824,0.019812
1.02,6,0.2,IRRECOVERABLE,3,0.024587,0.016672,0.11392
1.04,6,0.2,IRRECOVERABLE,3,0.084033,0.092568,1.112569
1.06,6,0.2,IRRECOVERABLE,3,0.421957,1.24149,11.089955
1.08,6,0.2,IRRECOVERABLE,3,2.5132,15.00404,104.745334
1.0,7,0.2,RECOVERABLE,1,0.011731,0.009312,0.017873
1.02,7,0.2,IRRECOVERABLE,3,0.036525,0.020434,0.126512
1.04,7,0.2,IRRECOVERABLE,3,0.312009,0.103694,1.231311
1.06,7,0.2,IRRECOVERABLE,3,2.732205,1.255332,11.96739
1.08,7,0.2,IRRECOVERABLE,3,22.958356,15.676081,111.129304
1.0,8,0.2,RECOVERABLE,1,0.010203,0.00724,0.020053
1.02,8,0.2,IRRECOVERABLE,3,0.029079,0.01848,0.157781
1.04,8,0.2,IRRECOVERABLE,3,0.088934,0.137614,1.597821
1.06,8,0.2,IRRECOVERABLE,3,0.375097,1.668251,15.426415
1.08,8,0.2,IRRECOVERABLE,3,2.84834,20.078707,141.313052
1.0,9,0.2,RECOVERABLE,1,0.009543,0.008749,0.031799
1.02,9,0.2,IRRECOVERABLE,3,0.023446,0.022619,0.202667
1.04,9,0.2,IRRECOVERABLE,3,0.106379,0.159929,1.735026
1.06,9,0.2,IRRECOVERABLE,3,0.807505,1.703978,15.757302
1.08,9,0.2,IRRECOVERABLE,3,7.410346,20.128103,141.630724
1.0,10,0.2,RECOVERABLE,1,0.010681,0.007962,0.038484
1.02,10,0.2,IRRECOVERABLE,3,0.023236,0.022347,0.232282
1.04,10,0.2,IRRECOVERABLE,3,0.08653,0.190035,2.092833
1.06,10,0.2,IRRECOVERABLE,3,0.447023,2.294224,20.079888
1.08,10,0.2,IRRECOVERABLE,3,3.953582,27.024589,187.772085
1.0,0,0.25,RECOVERABLE,1,0.005403,0.006053,0.00455
1.02,0,0.25,RECOVERABLE,1,0.00594,0.006792,0.004853
1.04,0,0.25,IRRECOVERABLE,3,0.015898,0.007586,0.021855
1.06,0,0.25,IRRECOVERABLE,3,0.075153,0.034509,0.254893
1.08,0,0.25,IRRECOVERABLE,3,0.38798,0.310375,2.631812
1.0,1,0.25,RECOVERABLE,1,0.005403,0.006053,0.00455
1.02,1,0.25,RECOVERABLE,1,0.00594,0.006792,0.004853
1.04,1,0.25,IRRECOVERABLE,3,0.015898,0.007586,0.021855
1.06,1,0.25,IRRECOVERABLE,3,0.075153,0.034509,0.254893
1.08,1,0.25,IRRECOVERABLE,3,0.38798,0.310375,2.631812
1.0,2,0.25,RECOVERABLE,1,0.010753,0.006053,0.018672
1.02,2,0.25,IRRECOVERABLE,3,0.017661,0.011264,0.056161
1.04,2,0.25,IRRECOVERABLE,3,0.078089,0.040186,0.286949
1.06,2,0.25,IRRECOVERABLE,3,0.574866,0.265304,2.011147
1.08,2,0.25,IRRECOVERABLE,3,4.822544,2.411766,16.103804
1.0,3,0.25,RECOVERABLE,1,0.010511,0.007831,0.009783
1.02,3,0.25,IRRECOVERABLE,3,0.024471,0.013585,0.065331
1.04,3,0.25,IRRECOVERABLE,3,0.087002,0.042941,0.557647
1.06,3,0.25,IRRECOVERABLE,3,0.344605,0.542942,4.952958
1.08,3,0.25,IRRECOVERABLE,3,1.727634,6.213122,43.567893
1.0,4,0.25,RECOVERABLE,1,0.012885,0.007406,0.020935
1.02,4,0.25,IRRECOVERABLE,3,0.02717,0.014431,0.100505
1.04,4,0.25,IRRECOVERABLE,3,0.073351,0.067762,0.790933
1.06,4,0.25,IRRECOVERABLE,3,0.411403,0.812998,7.200656
1.08,4,0.25,IRRECOVERABLE,3,2.956326,9.488936,66.106528
1.0,5,0.25,RECOVERABLE,1,0.006927,0.006466,0.019596
1.02,5,0.25,RECOVERABLE,1,0.011419,0.013111,0.086505
1.04,5,0.25,IRRECOVERABLE,3,0.045846,0.054491,0.622621
1.06,5,0.25,IRRECOVERABLE,3,0.283641,0.592245,5.308488
1.08,5,0.25,IRRECOVERABLE,3,1.844191,6.678716,46.685636
1.0,6,0.25,RECOVERABLE,1,0.010176,0.008841,0.024162
1.02,6,0.25,IRRECOVERABLE,3,0.03496,0.016157,0.101196
1.04,6,0.25,IRRECOVERABLE,3,0.155652,0.072773,0.781517
1.06,6,0.25,IRRECOVERABLE,3,0.814911,0.825006,7.179057
1.08,6,0.25,IRRECOVERABLE,3,4.575241,9.512527,65.996156
1.0,7,0.25,RECOVERABLE,1,0.011651,0.009994,0.020457
1.02,7,0.25,IRRECOVERABLE,3,0.040856,0.020389,0.117503
1.04,7,0.25,IRRECOVERABLE,3,0.183895,0.081957,1.00001
1.06,7,0.25,IRRECOVERABLE,3,1.161769,0.975365,9.198912
1.08,7,0.25,IRRECOVERABLE,3,9.532855,11.809617,83.505601
1.0,8,0.25,RECOVERABLE,1,0.008341,0.00696,0.018009
1.02,8,0.25,IRRECOVERABLE,3,0.022691,0.015106,0.107385
1.04,8,0.25,IRRECOVERABLE,3,0.106708,0.089703,0.996246
1.06,8,0.25,IRRECOVERABLE,3,0.660139,1.013243,9.415898
1.08,8,0.25,IRRECOVERABLE,3,3.826693,12.193757,85.877427
1.0,9,0.25,RECOVERABLE,1,0.009737,0.009258,0.034909
1.02,9,0.25,IRRECOVERABLE,3,0.02315,0.025106,0.217726
1.04,9,0.25,IRRECOVERABLE,3,0.097,0.171394,1.814189
1.06,9,0.25,IRRECOVERABLE,3,0.742144,1.778279,16.172058
1.08,9,0.25,IRRECOVERABLE,3,6.536853,20.495945,143.625156
1.0,10,0.25,RECOVERABLE,1,0.011002,0.008893,0.037922
1.02,10,0.25,IRRECOVERABLE,3,0.022927,0.023474,0.217844
1.04,10,0.25,IRRECOVERABLE,3,0.08386,0.181529,1.904746
1.06,10,0.25,IRRECOVERABLE,3,0.418109,2.086122,18.034723
1.08,10,0.25,IRRECOVERABLE,3,3.579695,24.218472,167.757774
1.0,0,0.3,RECOVERABLE,1,0.003904,0.006053,0.005072
1.02,0,0.3,RECOVERABLE,1,0.005295,0.006792,0.006935
1.04,0,0.3,RECOVERABLE,1,0.007188,0.007586,0.015433
1.06,0,0.3,IRRECOVERABLE,3,0.018943,0.016589,0.079257
1.08,0,0.3,IRRECOVERABLE,3,0.105564,0.096932,0.629023
1.0,1,0.3,RECOVERABLE,1,0.003904,0.006053,0.005072
1.02,1,0.3,RECOVERABLE,1,0.005295,0.006792,0.006935
1.04,1,0.3,RECOVERABLE,1,0.007188,0.007586,0.015433
1.06,1,0.3,IRRECOVERABLE,3,0.018943,0.016589,0.079257
1.08,1,0.3,IRRECOVERABLE,3,0.105564,0.096932,0.629023
1.0,2,0.3,RECOVERABLE,1,0.010266,0.006053,0.014582
1.02,2,0.3,IRRECOVERABLE,3,0.017008,0.009145,0.032032
1.04,2,0.3,IRRECOVERABLE,3,0.043522,0.024342,0.135727
1.06,2,0.3,IRRECOVERABLE,3,0.291496,0.131846,0.928001
1.08,2,0.3,IRRECOVERABLE,3,2.339466,1.152935,7.584478
1.0,3,0.3,RECOVERABLE,1,0.009827,0.00705,0.009936
1.02,3,0.3,IRRECOVERABLE,3,0.019935,0.012188,0.059857
1.04,3,0.3,IRRECOVERABLE,3,0.067112,0.039512,0.475113
1.06,3,0.3,IRRECOVERABLE,3,0.253805,0.450457,4.045826
1.08,3,0.3,IRRECOVERABLE,3,1.102612,4.975588,34.745134
1.0,4,0.3,RECOVERABLE,1,0.012024,0.006994,0.018151
1.02,4,0.3,IRRECOVERABLE,3,0.023814,0.013295,0.078154
1.04,4,0.3,IRRECOVERABLE,3,0.074226,0.050916,0.558949
1.06,4,0.3,IRRECOVERABLE,3,0.400087,0.552791,4.854442
1.08,4,0.3,IRRECOVERABLE,3,2.980898,6.281853,43.662636
1.0,5,0.3,RECOVERABLE,1,0.007027,0.006053,0.017716
