t,metric,outcome,dsdt,adaptive_threshold,spike_candidate,persistence,deviation,slope,recovery_lag,gv_signal,warning
0,0.9966669029823936,irreversible,0.0,0.006600000000000001,0,0.0,0.0,0.0,0.0,0.0,0
1,0.980565826179012,irreversible,-0.016101076803381575,0.006600000000000001,0,0.0,0.0,0.0,0.0,0.0,0
2,0.967130373551778,irreversible,-0.013435452627234001,0.006600000000000001,0,0.0,0.0,-0.014768264715307651,0.0,0.0,0
3,1.0101136214278654,irreversible,0.04298324787608743,0.006600000000000001,1,0.25,0.0,0.0026904702709180787,0.0,0.2884284648765254,0
4,0.9987720274315564,irreversible,-0.011341593996309074,0.03908109054699261,0,0.2,0.008122277117035281,0.0033758044147178105,0.0,0.11485618730269706,0
5,1.0081305707326562,irreversible,0.009358543301099864,0.04735129519393834,0,0.16666666666666666,0.014567350348445918,0.00442629115385815,0.0,0.13059875353078113,0
6,0.9802141011714812,irreversible,-0.027916469561174995,0.04427990584457499,0,0.14285714285714285,0.011442102182339209,0.0013361691983689713,0.0,0.06691833649311017,0
7,0.9868388241632668,irreversible,0.006624722991785625,0.04735129519393834,0,0.125,0.004215206791734372,0.0004893311996997425,0.0,0.04196936668839614,0
8,0.9800191394555968,irreversible,-0.006819684707670026,0.04360299983563166,0,0.1111111111111111,0.009808792443914971,-0.00039312759350373005,0.0,0.03402326099960289,0
9,0.9822671626588392,irreversible,0.0022480232032423553,0.04515377164860964,0,0.1,0.00680469231660541,-0.0006983165720394224,0.0,0.029103519237454058,0
10,1.003908158354988,irreversible,0.021640995696148857,0.050422684543301684,0,0.09090909090909091,0.01348754852685774,0.0006172728733686601,0.0,0.04304475493396101,0
11,0.9843405076733012,irreversible,-0.019567650681686866,0.04961224983825786,0,0.08333333333333333,0.005573426975260087,-0.00029564199466308017,0.0,0.024180070231445062,0
12,1.0071213257764056,irreversible,0.022780818103104394,0.05562149984088406,0,0.07692307692307693,0.01588374565647177,-0.0009074173412415942,0.0,0.03037434770389229,0
13,1.0067951185083643,irreversible,-0.00032620726804122313,0.052858988558072265,0,0.07142857142857142,0.014446285646399715,0.0008438252320304372,0.0,0.043166425554204794,0
14,1.040503219737602,irreversible,0.03370810122923773,0.05562149984088406,0,0.06666666666666667,0.04494409441726155,0.003717809520106977,0.0,0.11662864217487173,0
15,0.9721442190826638,irreversible,-0.06835900065493827,0.057206248401984294,0,0.0625,0.021951474597821874,0.0029811912979142035,0.0,0.08512504931082207,0
16,1.017758047556701,irreversible,0.045613828474037166,0.05911720423112575,0,0.0625,0.022270450707026157,0.003307700314469248,0.0,0.09124144369071607,0
17,0.9982102407622316,irreversible,-0.019547806794469325,0.05904662177110274,0,0.0625,0.0025713859174146814,0.002554535385502968,0.0,0.06291017637711444,0
18,0.99971940539738,irreversible,0.0015091646351483856,0.05911720423112575,0,0.0625,0.003865784734007227,0.0012912075276520496,0.0,0.04114107404824231,0
19,0.9710027235618678,irreversible,-0.028716681835512237,0.05904662177110274,0,0.0,0.023608352246429765,-0.00162740768272925,0.0,0.017706264184822323,0
20,0.990796123745507,irreversible,0.019793400183639176,0.060573903536831286,0,0.0,0.003633287678848185,-0.0018871111809630877,0.0,0.0027249657591361387,0
21,1.014863945268879,irreversible,0.024067821523372057,0.0668255411805422,0,0.0,0.01950569139704561,-0.0019796007068892704,0.0,0.014629268547784206,0
22,0.998350432559654,irreversible,-0.016513512709224965,0.06978919063285055,0,0.0,0.0028620839622631733,-0.0018240871445732785,0.0,0.00214656297169738,0
23,1.0016210874082254,irreversible,0.003270654848571364,0.06550484649893819,0,0.0,0.0058772080270498295,-0.0014056075209106158,0.0,0.004407906020287372,0
24,0.9941856663879892,irreversible,-0.007435421020236199,0.06550484649893819,0,0.0,0.0014958844734590526,0.0009172259605687551,0.0,0.01763198064533188,0
25,1.0230913949397258,irreversible,0.028905728551736565,0.06978919063285055,0,0.0,0.026355619306036027,0.000820893723627223,0.0,0.03454280150481703,0
26,0.99957054865913,irreversible,-0.02352084628059581,0.07140797661307435,0,0.0,0.002729781431905498,0.0018649866077457154,0.0,0.035617095013351995,0
27,0.9559916865503588,irreversible,-0.043578862108771155,0.0740986499208243,0,0.0,0.03939018493840618,-0.0005506819379718522,0.0,0.029542638703804636,0
28,0.98615854899051,irreversible,0.03016686244015121,0.0799595518907643,0,0.0,0.008905276894866865,-0.0007085342329516609,0.0,0.006678957671150149,0
29,0.9606240678583952,irreversible,-0.025534481132114872,0.08053132742573,0,0.0,0.033291766092748976,-0.004009247846512847,0.0,0.02496882456956173,0
30,0.9349712316900692,irreversible,-0.02565283616832592,0.07605903459803771,0,0.0,0.056888079884664156,-0.00726384516969796,0.0,0.04266605991349812,0
31,0.9893976930045536,irreversible,0.054426461314484365,0.08576673473941386,0,0.0,0.0027560141310311037,-0.005268539628044816,0.0,0.0020670105982733278,0
32,1.0266711970020546,irreversible,0.037273503997500956,0.09122219255276609,0,0.0,0.03253279575146062,-0.002032352869999564,0.0,0.024399596813595464,0
33,1.0009423981226118,irreversible,-0.025728798879442794,0.0876675856766686,0,0.0,0.007109704315526266,-0.00032479347841188187,0.0,0.0053322782366447,0
34,0.9765490858519004,irreversible,-0.024393312270711398,0.0731760858759368,0,0.0,0.01654284323586319,-0.00043524659038650273,0.0,0.012407132426897394,0
35,0.9811860026359516,irreversible,0.004636916784051204,0.07695201723443962,0,0.0,0.011007774181921781,0.0018480483352009422,0.0,0.041520700670058294,0
36,1.0226122646050002,irreversible,0.04142626196904864,0.07695201723443962,0,0.0,0.02900521567267611,0.005330845280439566,0.0,0.11770912680241928,0
37,1.003152532467969,irreversible,-0.019459732137031116,0.07695201723443962,0,0.0,0.009001693258821608,0.004567651290396244,0.0,0.0889689931712486,0
38,1.0009599848312412,irreversible,-0.0021925476367279373,0.07510116109850146,0,0.0,0.006111117442905489,0.005124341338388632,0.0,0.0968214821731745,0
39,0.9989307642232388,irreversible,-0.002029220608002369,0.0761837594465484,0,0.0,0.003526443449423211,0.0036886365402796183,0.0,0.06904029031210054,0
40,1.000768005231107,irreversible,0.0018372410078681956,0.0761837594465484,0,0.0,0.00546835622808739,0.00017863221786472379,0.0,0.007316647092630571,0
41,1.016108112938876,irreversible,0.015340107707769057,0.0699911867320264,0,0.0,0.019749543760337107,0.0003362551484630052,0.0,0.020864750492586924,0
42,1.0110513459471215,irreversible,-0.005056766991754502,0.06845636025209348,0,0.0,0.014561776096225554,0.0023791920255950114,0.0,0.05374678853287937,0
43,1.00431409400049,irreversible,-0.006737251946631551,0.06694258706021741,0,0.0,0.007907224966523074,0.0025287207022199124,0.0,0.05144739136485072,0
44,0.9791426328481998,irreversible,-0.025171461152290187,0.07362228303144527,0,0.0,0.015218883289453644,-0.000361829270271536,0.0,0.011414162467090233,0
45,1.0102221752981946,irreversible,0.03107954244999478,0.07362228303144527,0,0.0,0.014591393953356735,-0.0012794406204483168,0.0,0.010943545465017551,0
46,0.98631505844015,irreversible,-0.023907116858044586,0.07119301516468649,0,0.0,0.008267623267469437,-0.0010912793366090637,0.0,0.006200717450602078,0
47,1.0218769135180097,irreversible,0.035561855077859694,0.07270678835656255,0,0.0,0.026505342718531,0.00017927015646103912,0.0,0.023105869855196953,0
48,0.9745789835655174,irreversible,-0.04729792995249227,0.07119301516468649,0,0.0,0.01995457317289917,-0.0015031994757810944,0.0,0.014965929879674378,0
49,0.9972475804744882,irreversible,0.02266859690897083,0.07270678835656255,0,0.0,0.0018391951723176758,-0.001764711847270641,0.0,0.0013793963792382569,0
50,0.9998528342741746,irreversible,0.0026052537996863467,0.06804198670763274,0,0.0,0.004142558621048398,-0.0017412345049346266,0.0,0.0031069189657862983,0
51,0.9735070889871172,irreversible,-0.026345745287057354,0.06602709238533468,0,0.0,0.020824624789950175,-0.0021210309861392535,0.0,0.015618468592462631,0
52,1.0344394328771296,irreversible,0.06093234389001234,0.06602709238533468,0,0.0,0.03890475242281288,0.0010020131751067207,0.0,0.047214801469030634,0
53,1.029208135345191,irreversible,-0.005231297531938628,0.05985289192263394,0,0.0,0.03275388662630874,0.0031070717420470834,0.0,0.08049270632657905,0
54,0.9907283247678184,irreversible,-0.0384798105773726,0.06602709238533468,0,0.0,0.005610679230391491,0.001133388184375708,0.0,0.02460899674155636,0
55,1.0154344233112904,irreversible,0.024706098543472055,0.07270678835656255,0,0.0,0.019350651700695054,0.002438846869140331,0.0,0.05841223242004724,0
56,1.0075735213934045,irreversible,-0.00786090191788591,0.06451331919345861,0,0.0,0.011222984025000105,0.0016585425313253592,0.0,0.038271003582606544,0
57,0.9477288107330948,irreversible,-0.05984471066030972,0.07119301516468649,0,0.0,0.048346297441400954,-0.00027290675190084763,0.0,0.03625972308105071,0
58,1.0050079603255515,irreversible,0.057279149592456724,0.07772049238649203,0,0.0,0.008304538439887765,-0.0013344692325541782,0.0,0.006228403829915824,0
59,0.998773118403335,irreversible,-0.006234841922216461,0.0761194539245239,0,0.0,0.0007980614995066748,-0.001593710287882286,0.0,0.0005985461246300061,0
60,1.0016643470694906,irreversible,0.002891228666155543,0.0761194539245239,0,0.0,0.0014661863196816505,-0.0015400557436088022,0.0,0.0010996397397612379,0
