t,metric,outcome,rolling_var,var_z,variance_breach,deviation,deviation_norm,slope,slope_norm,persistence,recovery_failure,recovery_failure_persist,gv_composite,early_warning
0,1.000513159733185,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
1,1.0246677240587971,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2,1.0268265809198205,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,0.013156710593317883,1.0,0.0,0,0.0,0.15,0
3,1.004813187004581,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,0.001505893867521154,0.1505893867521154,0.0,0,0.0,0.022588408012817307,0
4,1.0117563292712668,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,0.00026318020219463274,0.026318020219463275,0.0,0,0.0,0.003947703032919491,0
5,1.011742692015806,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,-0.0001314261961350895,0.0,0.0,0,0.0,0.0,0
6,1.031226630012199,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,0.0018292891108037826,0.18292891108037826,0.0,0,0.0,0.027439336662056737,0
7,1.0244050995326246,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,0.00192535218949667,0.192535218949667,0.0,0,0.0,0.028880282842450047,0
8,1.0385005086318726,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,0.0027815187535369015,0.2781518753536901,0.0,0,0.0,0.04172278130305352,0
9,1.001082598846916,irreversible,0.0001600630319101994,0.0,0,0.0,0.0,0.0010246892658576682,0.10246892658576681,0.0,0,0.0,0.015370338987865021,0
10,1.053199637829034,irreversible,0.00025052429638591827,0.0,0,0.0,0.0,0.0018330073111437488,0.18330073111437487,0.0,0,0.0,0.02749510966715623,0
11,1.0285591109424006,irreversible,0.0002342532725981306,0.0,0,0.0,0.0,0.0022689769286137365,0.22689769286137365,0.0,0,0.0,0.034034653929206043,0
12,1.0399046136513534,irreversible,0.00024043978929171188,0.0,0,0.0,0.0,0.003420547613263215,0.34205476132632145,0.0,0,0.0,0.05130821419894822,0
13,1.0267393172930686,irreversible,0.0002242629660430561,0.0,0,0.0,0.0,0.0022279300206080517,0.22279300206080516,0.0,0,0.0,0.03341895030912077,0
14,1.0216044638878656,irreversible,0.0002094585024461469,0.7330023798222112,0,0.0014316463541870217,0.005965193142445924,0.0009523343898301458,0.09523343898301458,0.0,0,0.0,0.06783536732038503,0
15,1.0321856752121783,irreversible,0.0002012724948211465,0.4780912157470005,0,0.008577717159492737,0.03574048816455307,0.00013361526132820957,0.013361526132820958,0.0,0,0.0,0.04330169910619094,0
16,1.0350418087022195,irreversible,0.00019667074616666226,0.33108708387980684,0,0.010761271199561273,0.044838629998171974,0.0005218206963290956,0.05218206963290956,0.0,0,0.0,0.040444113864557034,0
17,1.0166108056789651,irreversible,0.0001888310793000122,0.09105112397172882,0,0.007243635611265731,0.030181815046940546,-0.0005963145951224977,0.0,0.0,0,0.0,0.012540014721654454,0
18,1.013933188570975,irreversible,0.0001838005310802003,-0.06388598327738655,0,0.009399081523505437,0.039162839681272654,-0.000826331499742927,0.0,0.0,0,0.0,0.00783256793625453,0
19,1.022758485750296,irreversible,0.00017462614287868777,-0.34729544229217774,0,0.0005450951269752036,0.002271229695730015,-0.002771710179507812,0.0,0.0,0,0.0,0.000454245939146003,0
20,0.9954147293591916,irreversible,0.000187480395051626,0.07158970300276528,0,0.026560810969599724,0.11067004570666551,-0.0029968352382024684,0.0,0.0,0,0.0,0.02724755935581634,0
21,0.9815819782114704,irreversible,0.00026868265505616747,2.3453633454806586,1,0.03855749111198803,0.16065621296661678,-0.0049187526553381876,0.0,0.0625,0,0.0,0.21528219584194183,0
22,1.0059672542513305,irreversible,0.00027697626350232273,2.2287364871961164,1,0.013556031808122482,0.05648346586717701,-0.004184777468721772,0.0,0.125,0,0.0,0.20174215654458658,0
23,0.985733454716598,irreversible,0.00032296050099314325,2.7605277883084938,1,0.03238192170356935,0.1349246737648723,-0.005020788566673265,0.0,0.1875,0,0.0,0.27104049106072403,0
24,0.9628287043576892,irreversible,0.00047161100032949916,3.7773068286058855,1,0.05307520517997888,0.221146688249912,-0.006951432486045745,0.0,0.25,0,0.0,0.3567293376499824,0
25,0.9754435382111912,irreversible,0.0005512892543012063,3.473515602846977,1,0.0389042031985356,0.162100846660565,-0.00677614702172542,0.0,0.3125,0,0.0,0.35865342667832567,0
26,0.9769224291759973,irreversible,0.000601270545159335,3.111090465238161,1,0.03603918955840624,0.15016328982669266,-0.00564200239937061,0.0,0.375,0,0.0,0.34600340548235003,0
27,0.9626598056732196,irreversible,0.0007052791663225916,3.1324643543551267,1,0.04850531973757022,0.20210549890654259,-0.005810075266278564,0.0,0.4375,0,0.0,0.3735435536638176,0
28,0.9552031106369978,irreversible,0.0007877382664958153,2.9986444301114537,1,0.05403229012641986,0.22513454219341608,-0.0059094332453222915,0.0,0.5,0,0.0,0.38421579630378705,0
29,0.9756461198516736,irreversible,0.0008275933226073838,2.735620819825123,1,0.03246963821468596,0.13529015922785817,-0.003593485116653455,0.0,0.5625,0,0.0,0.3630845189759376,0
30,0.9865904039629726,irreversible,0.000706608705460208,1.9097740541891188,1,0.021061262244379875,0.0877552593515828,-0.0019324341486101554,0.0,0.625,0,0.0,0.3102134843123965,0
31,0.9682426657549424,irreversible,0.0007075595967912346,1.7436784490100348,0,0.03752816517561486,0.15636735489839523,-0.002087390790898788,0.0,0.625,0,0.0,0.312071931623253,0
32,0.9597998612599472,irreversible,0.0006690754423881495,1.44946360906248,0,0.04373674568194752,0.182236440341448,-0.000915490336844695,0.0,0.625,0,0.0,0.29623040300132386,0
33,0.9765708335880884,irreversible,0.0006195897642520753,1.1474894498014132,0,0.026024361573256605,0.10843483988856918,0.000381875220566972,0.038187522056697204,0.625,0,0.0,0.26562862841489077,0
34,0.9820345242270369,irreversible,0.0005710304178642892,0.8734579066684406,0,0.019569944099500636,0.08154143374791932,0.0005613389844001349,0.056133898440013485,0.625,0,0.0,0.24336822199190308,0
35,0.9678918888246204,irreversible,0.00048688491024221226,0.46036526071260353,0,0.032250886062210826,0.13437869192587845,0.0005775773787065486,0.05775773787065486,0.625,0,0.0,0.22467263197381704,0
36,0.982300472646373,irreversible,0.00035689916962270394,-0.15040264922107055,0,0.01621143032826411,0.06754762636776712,0.0015698664019933883,0.15698664019933883,0.625,0,0.0,0.19330752130345424,0
37,0.9921094091844692,irreversible,0.0003023445326568177,-0.4258014192438827,0,0.005325970778562561,0.022191544910677336,0.002081158354804864,0.2081158354804864,0.5625,0,0.0,0.1762806843042084,0
38,0.9762596324450826,irreversible,0.0002475046194571994,-0.7000546951635612,0,0.019101051645056155,0.07958771518773398,0.0008738391374622421,0.0873839137462242,0.5,0,0.0,0.15402513009948043,0
