t,metric,outcome,rolling_var,var_z,variance_breach,deviation,deviation_norm,slope,slope_norm,persistence,recovery_failure,recovery_failure_persist,gv_composite,early_warning
0,1.000018702643124,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
1,1.0087526700794165,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
2,1.0043436649654405,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,0.0021624811611585183,0.21624811611585182,0.0,0,0.0,0.03243721741737777,0
3,0.999108873074597,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,-0.0007138493819556915,0.0,0.0,0,0.0,0.0,0
4,1.0094057537911476,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,0.0009130305291225797,0.09130305291225797,0.0,0,0.0,0.013695457936838696,0
5,1.004778682053297,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,0.0005864101798633104,0.05864101798633104,0.0,0,0.0,0.008796152697949656,0
6,1.0235827904413,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,0.0024216562917142204,0.24216562917142204,0.0,0,0.0,0.0363248443757133,0
7,1.045349165696689,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,0.004798402085291543,0.4798402085291543,0.0,0,0.0,0.07197603127937315,0
8,1.019913957476435,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,0.003891976101924723,0.3891976101924723,0.0,0,0.0,0.05837964152887084,0
9,1.0194851264447269,recoverable,0.00017810355797899795,0.0,0,0.0,0.0,0.003194842484921581,0.3194842484921581,0.0,0,0.0,0.04792263727382372,0
10,1.0370487493668274,recoverable,0.00020784387085286975,0.0,0,0.0,0.0,0.0035837255154880523,0.3583725515488052,0.0,0,0.0,0.05375588273232078,0
11,1.0353585251777535,recoverable,0.00022029411165576805,0.0,0,0.0,0.0,0.004013829943934128,0.4013829943934128,0.0,0,0.0,0.06020744915901192,0
12,1.0312796675614466,recoverable,0.00021730027726220982,0.0,0,0.0,0.0,0.0036050223420943466,0.36050223420943467,0.0,0,0.0,0.0540753351314152,0
13,1.0148301685367076,recoverable,0.00020259612658347003,0.0,0,0.0,0.0,0.0016234862116852474,0.16234862116852475,0.0,0,0.0,0.024352293175278712,0
14,1.0268513637510914,recoverable,0.00019386626172005207,0.3700885364348971,0,0.008177506347091468,0.034072943112881116,0.0007935491957445517,0.07935491957445517,0.0,0,0.0,0.04515272201838001,0
15,1.0356675434394649,recoverable,0.00019867063784723363,0.6524784209198913,0,0.01593158065824829,0.06638158607603455,-7.543867983784458e-05,0.0,0.0,0,0.0,0.05988191870948486,0
16,1.0025095745798374,recoverable,0.00020341310969509155,0.9138636492389376,0,0.016213071248356803,0.06755446353482002,-0.0018738462538503066,0.0,0.0,0,0.0,0.0787868676526024,0
17,1.012782844356819,recoverable,0.0001939635576312563,0.2751948945782846,0,0.0056098125007433275,0.023374218753097198,-0.0014053690549836607,0.0,0.0,0,0.0,0.024331621934782627,0
18,0.9877045151006816,recoverable,0.00023071261360309474,2.287704056984167,1,0.02907297640125539,0.12113740167189746,-0.003605737983682437,0.0,0.0625,0,0.0,0.2032599129761057,0
19,0.9931272495063608,recoverable,0.000245745345379283,2.5249901253035065,1,0.022467729895797373,0.09361554123248905,-0.005148492651448951,0.0,0.125,0,0.0,0.23032954576817685,0
20,0.980840416287992,recoverable,0.00029308879168961127,3.256982581331708,1,0.03309958391825352,0.13791493299272298,-0.0058710406097940695,0.0,0.1875,0,0.0,0.30709959955080945,0
21,1.0007670884329447,recoverable,0.00030081607673272887,2.75352003160835,1,0.01257414305633242,0.05239226273471842,-0.004938047662791157,0.0,0.25,0,0.0,0.269658454804683,0
22,0.9810254650232318,recoverable,0.00034971263047708673,3.0671044857732768,1,0.030910733141434776,0.1287947214226449,-0.004934504236862037,0.0,0.3125,0,0.0,0.3229628361254773,0
23,0.9998541982016836,recoverable,0.00034869839401963104,2.531561938673501,1,0.011578583297858658,0.048244097074411074,-0.004391430420567028,0.0,0.375,0,0.0,0.28422467217727515,0
24,0.9939767135866944,recoverable,0.00036571844995296883,2.4302562498792937,1,0.016757825196334064,0.06982427165139193,-0.003186006746736495,0.0,0.4375,0,0.0,0.2969295864645136,0
25,0.9848399794860574,recoverable,0.00039967185105172317,2.5385740940389003,1,0.024898614708626088,0.1037442279526087,-0.00149272446687462,0.0,0.5,0,0.0,0.32707556659330034,0
